age,ielts_score,CGPA,work_experience,financial_status,interview_country,visa_approved
28,8.5,2.67,3,Low,Germany,0
22,7.5,2.95,3,Medium,USA,0
32,7.9,3.53,2,High,Australia,1
26,7.1,2.83,3,Medium,USA,0
31,6.7,3.64,2,Low,Germany,0
22,7.8,2.94,5,Medium,Canada,0
26,8.9,2.12,5,Low,Australia,0
26,5.1,3.26,5,Medium,USA,0
28,6.3,3.56,4,High,UK,0
21,6.3,2.63,2,High,USA,0
32,6.7,2.44,2,Medium,UK,0
25,7.5,3.28,0,High,Australia,0
28,7.1,2.71,5,High,UK,0
31,5.1,3.81,5,Medium,Australia,0
34,6.6,3.53,3,High,Canada,1
31,7.5,2.92,2,Medium,Canada,0
34,7.0,3.95,2,Medium,USA,1
21,8.5,2.69,0,Low,USA,0
21,6.6,2.89,0,Medium,Australia,0
32,5.1,3.3,5,Medium,UK,0
33,6.1,3.02,3,Medium,USA,0
24,5.5,2.69,0,High,Canada,0
29,6.0,2.84,3,Medium,Australia,0
29,6.4,3.73,5,Medium,Australia,0
31,7.7,2.4,3,Medium,Canada,0
29,6.3,2.64,1,Medium,USA,0
27,8.5,2.4,1,Low,USA,0
30,6.2,3.02,2,High,Canada,0
34,5.5,2.32,3,High,Australia,0
28,5.7,2.34,3,Low,Germany,0
21,8.7,3.67,1,Medium,Australia,1
24,6.8,3.41,5,Medium,Canada,1
33,6.6,2.38,0,Medium,Canada,0
26,5.3,2.77,0,Medium,USA,0
34,7.9,3.83,0,Low,USA,0
25,7.8,3.74,3,Low,USA,0
25,6.5,3.31,1,Low,Australia,0
26,7.8,2.57,5,Medium,USA,0
22,6.5,2.75,4,High,Australia,0
32,5.3,3.31,1,Low,UK,0
22,8.0,3.12,2,Medium,Canada,1
29,8.9,3.12,0,High,Australia,0
28,7.6,2.85,0,High,USA,0
33,6.1,2.18,5,Medium,USA,0
27,6.1,2.24,3,Medium,UK,0
24,8.7,3.67,2,Medium,Australia,1
25,6.2,3.77,5,High,Canada,0
30,8.1,3.79,1,Medium,USA,1
31,7.6,2.95,5,Low,Canada,0
29,7.4,3.87,3,High,Canada,1
20,5.7,3.68,4,Medium,UK,0
29,5.1,2.77,0,High,UK,0
31,7.0,2.45,4,Low,USA,0
20,9.0,3.46,5,High,USA,1
23,5.8,3.45,0,High,USA,0
21,7.1,3.78,0,Medium,USA,0
30,7.7,2.1,2,High,Australia,0
26,6.9,2.71,2,High,Germany,0
21,7.0,2.07,3,High,USA,0
29,7.6,2.42,2,High,Canada,0
21,8.3,2.8,0,Medium,USA,0
24,6.3,2.25,1,Low,UK,0
23,8.6,3.64,0,High,Canada,0
27,6.9,2.41,1,High,USA,0
23,7.6,2.82,5,Low,Canada,0
33,5.4,3.6,5,High,Germany,0
31,7.0,2.23,5,Medium,USA,0
25,5.1,3.24,2,Medium,Canada,0
24,6.6,3.88,4,High,USA,1
30,5.2,2.91,4,Medium,Canada,0
33,8.6,2.48,2,Medium,USA,0
21,7.7,3.89,5,Low,Germany,0
30,8.2,2.11,4,High,USA,0
34,6.9,2.62,5,Medium,Canada,0
32,8.4,3.63,1,Medium,Germany,1
31,8.5,2.31,4,High,Australia,0
33,6.4,2.17,1,High,Germany,0
27,6.5,2.92,2,Medium,Canada,0
21,7.0,2.66,2,Low,USA,0
28,5.2,3.59,4,High,UK,0
34,9.0,2.67,0,Low,UK,0
28,6.4,3.34,3,Medium,UK,0
22,6.9,3.12,4,High,Australia,1
23,8.0,3.19,2,High,Germany,1
27,6.2,3.02,2,Medium,Australia,0
28,5.8,2.27,2,Medium,UK,0
22,5.5,2.12,3,Low,USA,0
24,7.1,3.09,3,Medium,USA,1
30,5.0,3.3,0,Medium,Canada,0
34,7.8,3.45,3,High,Canada,1
27,6.8,3.44,2,High,USA,1
22,7.1,3.48,4,High,Canada,1
26,6.1,2.04,3,Low,USA,0
30,5.7,2.45,2,High,UK,0
27,7.8,3.46,4,Medium,UK,1
29,5.8,2.25,3,Low,USA,0
30,8.1,2.37,3,High,UK,0
33,5.8,3.32,1,High,USA,0
22,7.5,3.62,5,Low,UK,0
21,7.6,2.32,3,Low,UK,0
29,7.0,3.1,3,High,Australia,1
32,9.0,2.36,0,Medium,Canada,0
26,6.5,2.42,5,Medium,USA,0
31,8.5,2.96,2,Medium,USA,0
28,5.7,3.35,1,Medium,USA,0
20,6.3,3.15,3,Medium,USA,0
22,5.6,2.18,2,Medium,UK,0
24,7.4,2.57,3,Low,USA,0
22,7.6,3.88,0,High,UK,0
20,6.8,3.26,0,Medium,Australia,0
34,7.9,3.32,2,Low,Australia,0
26,8.5,2.42,4,High,UK,0
26,8.1,3.92,3,Medium,UK,1
29,6.0,2.41,4,Medium,Australia,0
31,6.3,2.5,2,Low,UK,0
27,6.5,3.02,1,High,Germany,0
24,5.8,2.99,1,Low,UK,0
29,6.4,2.07,3,Medium,USA,0
31,6.0,3.49,3,Low,USA,0
24,9.0,2.19,1,High,Germany,0
24,8.1,2.11,0,Medium,USA,0
20,8.4,3.01,5,Low,USA,0
29,8.7,2.1,3,Low,USA,0
24,7.7,2.4,2,High,UK,0
25,5.7,2.78,3,High,UK,0
34,8.0,3.21,2,Medium,Australia,1
32,5.1,3.57,1,Medium,Canada,0
31,5.5,2.58,3,Medium,Canada,0
20,5.1,2.94,0,High,Australia,0
30,5.5,3.91,2,Medium,Canada,0
26,8.0,2.78,0,Low,Canada,0
20,8.5,3.42,2,Medium,Germany,1
30,6.1,2.54,4,Medium,UK,0
21,5.5,3.25,5,Medium,Canada,0
21,6.1,3.61,0,Medium,UK,0
24,7.6,3.83,5,Medium,Canada,1
33,6.4,3.88,0,Medium,USA,0
29,8.8,2.6,5,Medium,Australia,0
32,5.5,2.4,0,High,Australia,0
26,9.0,3.63,0,High,Australia,0
20,5.0,3.26,0,High,UK,0
29,6.8,2.83,1,Low,UK,0
20,6.0,2.07,3,Medium,Australia,0
20,7.3,2.62,0,High,Germany,0
25,5.4,2.22,5,High,Australia,0
21,8.5,2.98,4,Low,Germany,0
20,5.5,3.65,2,Medium,USA,0
25,7.3,2.63,5,Medium,Germany,0
33,5.1,2.72,1,High,Australia,0
21,6.2,3.57,5,Medium,Australia,0
25,5.6,2.91,3,Low,UK,0
29,8.9,3.34,1,Medium,Canada,1
27,5.0,2.38,5,Medium,Canada,0
21,6.4,2.5,1,High,Canada,0
30,6.2,3.27,5,Medium,USA,0
28,7.6,2.22,5,Medium,USA,0
27,5.2,2.35,4,High,USA,0
31,8.2,2.64,3,Low,Australia,0
29,6.9,2.36,4,Medium,UK,0
20,6.8,3.95,4,Low,UK,0
26,5.9,2.51,3,Medium,USA,0
33,7.0,3.91,1,Low,Australia,0
32,6.5,3.69,1,High,Canada,0
29,6.0,2.67,1,Medium,Canada,0
25,5.7,3.1,4,Medium,Australia,0
33,7.9,2.68,3,Medium,Germany,0
25,5.6,3.41,1,Low,Australia,0
25,5.7,2.72,2,Low,Germany,0
25,7.3,2.93,4,Low,Canada,0
29,5.9,3.44,0,Low,Canada,0
26,6.8,2.83,1,Medium,USA,0
31,7.2,3.38,4,Medium,USA,1
22,6.1,2.74,3,Medium,USA,0
33,6.4,2.8,3,Low,Canada,0
25,5.8,2.64,0,High,Canada,0
22,6.8,3.98,1,Low,Canada,0
26,9.0,3.01,0,High,Canada,0
26,6.5,2.44,3,Low,Canada,0
27,7.6,3.13,1,Low,Australia,0
21,7.5,2.94,2,High,Australia,0
28,8.1,3.56,2,Medium,Canada,1
32,7.8,3.87,2,Low,USA,0
24,5.0,2.22,0,Low,Australia,0
28,6.2,3.96,5,Medium,USA,0
29,8.5,2.33,1,Medium,Canada,0
24,7.2,2.55,5,High,USA,0
26,5.4,3.55,2,High,Canada,0
30,6.1,2.31,5,Medium,Canada,0
28,6.1,3.63,5,Medium,Australia,0
34,8.5,3.35,0,High,Australia,0
23,7.2,3.61,1,Medium,Australia,1
21,7.4,3.13,3,Medium,Australia,1
28,6.5,3.97,5,High,Australia,0
32,5.2,3.19,2,Medium,Australia,0
21,5.3,2.79,2,Medium,UK,0
22,6.7,3.93,0,Medium,Australia,0
29,5.7,2.15,5,Medium,USA,0
21,5.4,3.03,0,High,Germany,0
22,6.0,3.26,5,Low,USA,0
25,8.0,2.69,2,Medium,Australia,0
22,5.3,2.18,5,Medium,Australia,0
34,6.8,2.82,3,Medium,UK,0
29,8.3,3.62,0,Medium,Germany,0
27,6.1,3.14,0,Low,USA,0
30,6.2,3.52,2,High,UK,0
25,8.5,3.44,0,Medium,UK,0
26,7.6,2.57,2,Medium,USA,0
20,8.2,2.51,2,High,USA,0
22,6.2,3.58,1,High,Australia,0
22,9.0,2.34,0,High,Australia,0
21,5.6,3.13,2,High,Australia,0
26,8.8,3.91,0,High,Canada,0
28,8.6,3.05,5,High,Canada,1
23,7.2,3.61,4,Low,Canada,0
31,7.3,2.51,4,Low,UK,0
24,8.1,2.12,4,Medium,UK,0
22,6.2,2.7,1,High,Australia,0
30,7.1,3.15,1,Medium,USA,1
28,8.6,3.28,4,High,USA,1
33,5.3,3.07,3,Medium,Canada,0
23,8.6,2.87,5,Medium,Australia,0
24,7.9,3.97,0,Medium,Canada,0
20,8.1,3.38,1,High,Australia,1
30,5.3,3.91,2,Medium,Germany,0
31,5.8,2.35,5,Medium,Canada,0
34,8.7,4.0,0,Medium,UK,0
32,5.5,3.41,2,High,Germany,0
21,7.5,3.94,3,Medium,Canada,1
31,8.1,3.21,1,Low,USA,0
32,5.9,2.31,2,Medium,Canada,0
28,7.8,2.7,4,Medium,Australia,0
21,5.3,2.11,1,High,USA,0
24,7.0,2.3,2,High,UK,0
32,6.3,4.0,1,Low,Germany,0
27,7.6,3.83,2,High,Australia,1
22,8.6,3.8,4,Medium,USA,1
25,5.5,2.0,5,High,UK,0
23,6.8,2.9,4,Medium,Canada,0
30,6.7,3.56,2,High,Germany,1
26,6.3,2.45,2,Medium,Australia,0
29,6.9,2.84,1,Medium,USA,0
33,8.5,2.41,2,Medium,Canada,0
32,8.9,3.39,4,Medium,Canada,1
22,5.0,3.41,2,Medium,UK,0
25,8.0,2.57,1,Low,UK,0
34,7.5,2.95,1,High,UK,0
31,9.0,2.9,5,Medium,Canada,0
34,5.4,3.56,2,High,Australia,0
29,8.2,3.35,3,Medium,Australia,1
28,8.7,2.14,0,Medium,USA,0
30,8.6,2.3,4,Low,USA,0
29,7.2,3.68,1,Low,USA,0
20,6.3,3.93,1,Medium,USA,0
22,7.6,3.27,3,Low,UK,0
21,6.2,2.73,3,Medium,UK,0
27,6.6,2.44,1,Medium,USA,0
26,6.8,3.49,2,Medium,USA,1
21,6.2,3.28,2,Medium,Canada,0
25,6.4,3.82,4,Medium,Canada,0
34,5.0,3.81,0,High,Australia,0
22,6.2,2.61,3,Medium,Germany,0
27,6.9,3.61,1,Low,Australia,0
29,5.7,2.51,5,High,UK,0
32,8.2,3.56,5,High,Australia,1
22,7.2,2.34,4,High,Canada,0
29,8.2,2.7,4,Low,Germany,0
33,5.5,2.17,0,High,Germany,0
28,8.3,2.59,3,High,Australia,0
20,8.8,2.64,2,Low,Canada,0
24,6.4,3.34,2,Medium,USA,0
22,6.1,3.43,3,Medium,Australia,0
25,7.6,3.18,4,Low,Australia,0
29,7.5,3.54,4,High,Australia,1
21,5.4,2.9,4,High,Canada,0
28,8.7,3.26,1,Low,Australia,0
25,6.9,2.72,2,Medium,UK,0
26,8.1,3.04,1,Medium,USA,1
24,6.4,2.28,0,Medium,UK,0
28,6.0,3.22,5,Medium,Australia,0
20,5.4,2.41,2,Low,Australia,0
24,6.1,2.92,3,Medium,USA,0
30,9.0,3.33,4,High,USA,1
29,7.6,2.86,0,High,USA,0
30,8.2,2.45,3,Medium,Canada,0
25,8.8,3.33,1,Medium,UK,1
26,5.3,3.71,1,High,UK,0
31,5.7,3.0,4,Medium,Canada,0
23,8.7,3.12,3,High,USA,1
31,7.3,2.78,2,High,Australia,0
32,7.5,3.17,4,High,USA,1
20,6.7,2.99,2,Low,UK,0
34,8.3,3.49,5,Medium,Australia,1
30,7.1,2.48,5,High,Australia,0
27,8.3,2.97,0,High,Australia,0
29,9.0,2.63,4,Medium,Australia,0
23,7.6,2.19,3,Medium,USA,0
22,7.1,2.77,2,Low,UK,0
31,6.5,3.91,4,Medium,USA,0
26,5.8,2.92,2,Medium,UK,0
31,7.6,3.09,0,Medium,USA,0
21,5.3,3.48,0,High,Canada,0
27,8.8,3.97,0,High,USA,0
33,7.6,2.82,3,High,USA,0
25,8.8,3.04,0,High,Canada,0
26,6.1,3.94,0,Medium,USA,0
33,8.8,2.86,5,Low,Canada,0
24,7.4,3.58,4,Medium,Canada,1
28,8.2,2.89,5,Medium,Germany,0
24,5.7,2.46,1,Medium,UK,0
30,7.0,3.87,4,High,Germany,1
24,7.3,3.42,3,High,Germany,1
22,6.6,3.73,3,Low,UK,0
30,6.0,2.23,5,High,UK,0
20,8.6,3.41,0,Medium,UK,0
21,5.3,3.28,3,Medium,UK,0
27,5.6,2.97,2,Medium,USA,0
34,6.3,2.28,2,High,Australia,0
20,8.7,2.83,2,Medium,USA,0
26,7.3,3.24,4,High,USA,1
33,6.5,3.35,1,High,Canada,0
33,6.6,2.23,1,Low,USA,0
24,8.4,2.89,5,Medium,Australia,0
22,5.1,2.85,1,Medium,Germany,0
31,5.0,3.57,4,High,USA,0
31,5.2,2.08,4,Low,Germany,0
34,6.9,3.57,2,Low,Australia,0
30,7.3,3.57,0,Medium,UK,0
26,7.5,3.39,5,Medium,Canada,1
28,7.9,3.8,4,Medium,UK,1
21,5.8,2.93,3,Medium,Canada,0
27,6.0,2.19,5,Medium,Canada,0
28,6.0,2.66,0,High,Australia,0
30,5.6,3.22,5,High,Canada,0
22,6.0,2.65,3,Medium,USA,0
21,7.5,3.27,3,High,UK,1
26,6.5,2.09,3,High,USA,0
24,8.1,2.14,1,High,UK,0
24,7.1,2.02,0,High,UK,0
29,5.8,3.95,4,Medium,UK,0
24,6.9,2.52,1,Low,USA,0
23,7.4,3.59,4,Medium,UK,1
32,8.5,3.77,4,Medium,Canada,1
24,8.3,2.32,0,Medium,USA,0
32,6.7,2.4,5,Medium,Canada,0
23,7.6,2.76,1,Low,Canada,0
34,6.2,3.01,2,High,USA,0
32,7.5,3.07,3,High,Germany,1
25,8.7,2.77,2,High,USA,0
23,7.5,3.17,3,Medium,USA,1
21,6.2,3.47,3,High,USA,0
28,7.6,3.4,2,Low,Australia,0
21,8.6,2.06,4,High,USA,0
28,5.5,3.19,5,High,Canada,0
29,6.9,3.43,1,Medium,Australia,1
25,6.3,2.4,3,Medium,Canada,0
28,6.0,3.21,5,High,UK,0
28,6.6,2.22,1,High,UK,0
22,6.6,3.33,0,Medium,USA,0
20,5.8,3.24,1,High,Canada,0
20,6.6,2.48,0,Medium,Germany,0
22,7.5,3.75,3,Medium,Australia,1
24,5.1,3.61,4,Low,USA,0
32,9.0,3.48,4,Medium,UK,1
22,6.2,2.92,5,Low,USA,0
31,7.5,2.45,4,Medium,Canada,0
28,6.1,3.56,5,Medium,UK,0
28,6.6,2.43,0,High,Canada,0
22,7.2,2.97,1,High,Canada,0
22,7.4,2.76,3,Medium,UK,0
31,8.1,2.4,4,Medium,UK,0
33,8.2,3.23,3,Low,USA,0
24,7.1,3.96,3,Low,Canada,0
21,5.3,2.95,3,Medium,USA,0
25,7.2,3.0,0,Medium,Australia,0
26,6.9,2.75,1,Low,UK,0
32,5.9,2.46,4,High,Canada,0
28,5.0,2.57,1,Low,Germany,0
34,6.3,3.75,4,Medium,UK,0
25,6.0,3.9,0,Medium,Australia,0
22,6.9,3.65,2,High,Australia,1
31,8.0,2.05,0,Medium,USA,0
24,6.8,3.22,1,Low,Canada,0
23,8.8,3.1,4,Low,UK,0
34,5.9,3.55,1,High,UK,0
24,5.9,3.56,5,Medium,UK,0
27,7.4,2.88,1,Medium,Canada,0
27,8.6,2.58,0,High,Germany,0
25,7.7,2.19,1,Medium,USA,0
20,7.7,3.22,0,Low,USA,0
27,8.2,2.55,1,Medium,Australia,0
27,7.7,3.93,2,Medium,USA,1
21,8.0,2.09,5,Medium,UK,0
23,8.5,3.93,5,Medium,UK,1
31,5.0,2.99,3,High,USA,0
21,8.5,3.21,2,Medium,UK,1
23,5.9,3.17,4,Medium,Canada,0
31,8.6,3.51,0,High,Germany,0
32,6.1,2.18,3,Low,UK,0
32,6.8,3.78,1,Medium,UK,1
29,8.7,3.58,5,Medium,UK,1
26,5.4,3.7,0,Medium,Germany,0
28,8.0,2.97,4,Medium,USA,0
33,6.6,3.4,2,Medium,UK,1
33,5.1,2.91,5,Medium,USA,0
27,8.8,2.26,1,Low,UK,0
34,5.5,2.6,4,Medium,UK,0
31,8.1,2.56,0,High,USA,0
28,6.5,2.33,4,High,USA,0
27,8.2,2.48,3,Medium,UK,0
21,8.0,3.0,3,Medium,UK,0
26,7.5,2.84,1,Medium,USA,0
21,8.8,2.66,4,Medium,UK,0
32,5.4,3.81,1,Low,Germany,0
31,8.2,3.56,0,High,Germany,0
30,7.7,2.01,4,Medium,Australia,0
21,6.3,3.14,0,Medium,USA,0
34,7.2,3.4,0,High,Canada,0
23,7.6,2.11,5,Low,Australia,0
20,7.9,2.23,4,Medium,USA,0
34,5.7,2.56,0,Medium,Canada,0
24,5.4,3.23,3,High,UK,0
25,5.4,3.85,1,Medium,UK,0
28,6.2,2.97,1,High,Canada,0
29,5.6,3.96,1,High,UK,0
27,7.1,3.87,1,Low,Germany,0
21,6.7,3.27,3,High,Canada,1
20,8.6,2.92,4,Medium,Canada,0
21,7.9,3.36,4,High,Canada,1
26,5.8,3.58,0,High,UK,0
23,5.2,3.89,0,High,USA,0
29,7.8,3.51,3,Medium,USA,1
24,8.4,2.78,2,High,Canada,0
31,7.8,2.99,4,Medium,USA,0
26,7.6,2.09,0,High,USA,0
22,6.0,2.06,3,Medium,Germany,0
29,7.0,2.56,5,Medium,Germany,0
21,7.9,3.61,5,Low,Canada,0
32,5.8,2.64,4,High,USA,0
26,6.9,2.23,3,High,Australia,0
24,5.5,2.71,4,Medium,Canada,0
33,7.1,2.61,3,High,Australia,0
34,7.3,3.98,1,Low,UK,0
20,7.1,3.94,5,High,Australia,1
20,6.9,3.47,2,Medium,Australia,1
28,7.3,3.66,2,High,Canada,1
24,9.0,2.51,4,Medium,Germany,0
20,7.5,3.08,3,Low,UK,0
26,8.0,4.0,5,Medium,Germany,1
28,5.8,2.65,4,High,USA,0
30,7.1,3.97,3,Medium,Australia,1
20,5.0,2.38,1,Medium,Canada,0
29,5.1,3.24,4,Medium,UK,0
33,6.3,3.56,3,Medium,USA,0
32,6.9,3.19,3,High,Canada,1
23,7.3,2.62,2,Medium,Canada,0
33,8.6,3.63,0,High,Australia,0
22,8.1,2.4,0,High,Australia,0
24,6.2,2.86,0,Medium,USA,0
26,8.0,2.56,5,Medium,Australia,0
27,7.2,2.99,1,Medium,USA,0
32,8.1,2.77,5,Medium,Canada,0
21,6.6,2.36,3,High,Australia,0
26,5.4,3.48,0,Medium,Germany,0
33,7.5,2.35,4,Low,USA,0
33,7.2,3.09,1,Medium,UK,1
20,8.8,3.61,4,Medium,UK,1
26,5.6,2.97,1,Medium,Australia,0
27,7.6,3.77,5,Medium,Canada,1
21,6.9,2.86,4,Low,UK,0
28,6.5,3.94,0,High,Germany,0
20,8.2,2.05,1,Low,Canada,0
32,8.2,3.58,3,High,Australia,1
25,7.9,3.42,1,Low,Germany,0
20,5.3,3.22,0,Low,Canada,0
22,6.4,2.59,2,High,Germany,0
30,5.2,3.22,3,Medium,Australia,0
25,6.4,3.19,5,Medium,Germany,0
22,7.6,2.3,0,Medium,UK,0
27,7.1,3.76,1,High,USA,1
24,7.8,3.07,0,Medium,USA,0
21,7.2,2.18,1,Medium,Australia,0
23,7.2,2.78,1,High,Australia,0
28,7.0,2.43,3,Medium,UK,0
23,6.5,2.34,1,Medium,USA,0
29,6.8,3.89,2,Medium,Australia,1
29,5.4,3.35,0,Low,Canada,0
27,8.3,2.6,0,Low,USA,0
24,8.6,3.36,1,Medium,Canada,1
30,8.1,3.61,1,Medium,USA,1
30,7.3,2.63,3,Low,USA,0
29,7.3,3.97,3,High,USA,1
32,6.9,3.76,1,Medium,USA,1
32,5.9,3.59,4,High,USA,0
33,6.5,3.43,5,Medium,USA,0
34,9.0,2.08,1,Medium,Canada,0
20,5.6,2.04,5,Medium,USA,0
26,7.2,2.33,5,Low,UK,0
22,8.5,3.83,2,High,USA,1
29,6.8,2.43,0,Medium,Canada,0
27,7.4,3.4,4,Low,Germany,0
33,8.3,3.96,4,Low,USA,0
31,7.2,3.87,4,Medium,Australia,1
22,7.9,2.8,0,Medium,Australia,0
20,6.4,3.36,3,Medium,Canada,0
24,7.9,3.52,4,Medium,Germany,1
21,5.2,3.1,5,Low,USA,0
30,5.6,3.05,2,High,USA,0
23,7.5,2.45,1,Medium,Australia,0
20,6.8,3.35,4,Low,USA,0
28,8.3,2.59,0,Medium,Australia,0
25,6.4,2.62,0,High,Germany,0
27,8.1,2.53,5,Medium,USA,0
30,5.6,2.13,2,Medium,Australia,0
23,8.7,3.69,4,High,Canada,1
28,6.7,3.73,3,High,UK,1
21,5.9,3.45,0,Medium,UK,0
28,8.2,3.86,0,Low,Australia,0
31,8.8,3.26,2,High,Canada,1
24,8.7,3.28,5,High,Australia,1
32,6.0,3.78,4,High,Canada,0
25,7.7,2.42,2,Medium,UK,0
22,7.2,2.87,3,Medium,UK,0
23,7.9,3.41,0,High,Germany,0
25,6.9,2.54,1,Medium,Canada,0
26,6.9,2.46,1,Low,Australia,0
20,8.5,3.8,1,Low,Australia,0
26,8.5,3.99,2,Low,USA,0
20,8.2,2.77,3,Medium,UK,0
24,7.8,2.47,1,Medium,USA,0
25,7.7,2.81,0,High,Australia,0
32,5.2,2.61,4,Medium,Canada,0
21,8.0,3.64,2,Low,Germany,0
34,7.6,3.8,3,High,USA,1
34,6.2,2.78,3,High,Germany,0
32,8.3,3.2,1,Low,Australia,0
29,8.3,2.16,1,Medium,USA,0
28,8.7,2.92,0,Medium,Australia,0
33,6.7,2.01,3,High,UK,0
29,7.2,3.34,4,Medium,UK,1
25,8.6,2.35,3,Low,Germany,0
26,6.3,3.76,5,High,Australia,0
33,8.2,3.26,2,Medium,USA,1
34,9.0,3.86,2,High,Germany,1
29,7.6,3.88,3,High,Canada,1
34,8.9,2.34,1,High,Canada,0
27,7.1,3.03,1,Low,Canada,0
30,5.6,2.39,1,High,UK,0
34,5.7,2.91,5,Low,UK,0
32,7.9,2.9,1,Low,Australia,0
29,5.0,3.47,1,High,UK,0
20,7.6,3.95,5,High,Canada,1
33,5.6,3.26,0,Medium,UK,0
27,8.9,3.63,4,Low,Canada,0
23,5.7,2.81,3,Medium,Canada,0
29,7.2,2.15,2,High,USA,0
27,7.7,3.03,2,Low,Germany,0
32,8.3,3.81,5,Medium,Canada,1
34,6.8,2.48,4,Medium,UK,0
25,8.7,2.53,5,High,Canada,0
30,6.9,2.21,3,Medium,Germany,0
28,6.0,3.99,0,Medium,Canada,0
30,7.4,2.83,2,Medium,UK,0
23,7.6,2.6,2,High,Canada,0
21,7.0,3.85,0,Medium,Germany,0
33,7.9,3.62,4,Low,USA,0
21,6.7,3.75,2,High,Canada,1
24,5.0,3.9,3,High,USA,0
29,6.1,3.71,3,Medium,Canada,0
28,8.8,3.97,2,Medium,Australia,1
31,8.1,3.28,1,High,Australia,1
22,5.8,2.48,0,Medium,USA,0
27,5.3,2.33,3,Low,UK,0
23,6.4,3.2,0,Medium,USA,0
25,8.3,2.72,4,Medium,UK,0
29,5.4,2.26,2,High,UK,0
25,7.2,3.59,2,Medium,USA,1
22,6.1,2.7,1,Low,UK,0
33,7.9,2.89,5,Medium,Australia,0
24,5.0,3.22,2,High,UK,0
31,6.1,2.8,1,Medium,Canada,0
22,7.7,3.73,2,High,Australia,1
30,7.2,3.96,1,High,Germany,1
34,8.1,2.77,4,Medium,Australia,0
30,5.6,2.36,5,Low,Australia,0
34,7.1,2.56,3,High,UK,0
20,5.8,3.35,0,Low,UK,0
26,7.6,2.16,4,Medium,UK,0
23,5.5,3.35,5,High,Australia,0
33,5.6,3.06,4,Medium,UK,0
26,6.3,2.09,3,Medium,USA,0
22,6.6,2.82,3,High,USA,0
31,7.0,2.46,2,Medium,USA,0
34,7.3,2.26,4,High,USA,0
34,6.9,3.88,1,Medium,Canada,1
30,5.2,2.58,0,Low,USA,0
24,6.4,2.99,1,Medium,Canada,0
24,5.2,3.22,5,High,USA,0
34,5.5,3.26,1,Medium,Australia,0
32,5.4,2.76,2,High,Canada,0
21,5.6,2.54,2,Medium,Australia,0
30,8.3,3.13,4,High,UK,1
29,7.5,3.59,5,Medium,UK,1
31,7.0,3.79,1,Low,UK,0
21,7.9,3.18,1,High,USA,1
23,8.8,3.06,2,Medium,UK,1
34,6.7,3.93,5,High,USA,1
23,6.5,2.41,4,Medium,Germany,0
23,8.9,2.03,5,Medium,Germany,0
25,8.1,2.99,4,Medium,Germany,0
21,8.1,2.12,0,Medium,USA,0
25,7.4,2.12,5,Medium,USA,0
26,7.0,2.07,3,High,Australia,0
30,7.2,3.24,2,Low,UK,0
29,7.6,3.25,2,Medium,USA,1
22,6.5,2.51,1,Medium,UK,0
30,8.1,2.9,3,High,UK,0
31,8.6,2.84,1,Medium,Canada,0
27,7.3,2.99,2,Medium,USA,0
21,6.5,2.4,3,Medium,Germany,0
30,7.8,3.63,2,Low,USA,0
27,5.7,2.58,5,High,UK,0
32,8.9,2.65,0,High,USA,0
30,7.6,3.3,2,High,Canada,1
24,5.3,3.96,4,High,Australia,0
21,7.1,2.41,0,Medium,Australia,0
26,8.0,2.72,0,High,UK,0
33,6.1,2.75,3,Medium,USA,0
21,5.2,3.06,3,Medium,USA,0
33,7.0,3.67,3,High,USA,1
25,8.3,3.45,4,Medium,Canada,1
29,6.0,2.41,5,Medium,USA,0
22,7.9,3.43,3,Medium,UK,1
28,6.6,2.25,0,Medium,Germany,0
22,5.2,2.38,3,Medium,USA,0
30,6.2,2.79,3,High,UK,0
34,6.3,2.69,5,Medium,Australia,0
31,8.6,3.74,3,Low,UK,0
31,8.9,3.99,4,Medium,Canada,1
22,5.8,2.41,0,High,USA,0
24,6.7,3.31,1,Medium,USA,1
26,8.9,3.16,0,Low,Canada,0
33,6.6,3.54,1,Medium,USA,1
27,6.4,3.4,2,Medium,Australia,0
31,5.4,2.55,3,Medium,Australia,0
30,8.0,3.68,0,High,USA,0
26,6.8,2.96,2,Medium,USA,0
28,7.6,3.87,3,High,Australia,1
24,7.0,3.12,2,High,Canada,1
29,5.7,2.58,5,Medium,USA,0
30,5.7,3.79,1,Medium,USA,0
34,8.8,3.65,2,High,UK,1
22,8.6,3.89,2,Low,Canada,0
25,7.4,3.79,1,High,UK,1
24,5.0,2.49,2,Medium,USA,0
31,6.7,3.63,3,Medium,UK,1
23,7.1,3.19,3,High,Germany,1
31,6.8,2.81,5,Medium,UK,0
21,8.7,2.02,2,Low,Australia,0
26,5.2,3.4,4,High,UK,0
32,7.6,3.71,2,Low,USA,0
24,6.3,3.21,3,Medium,USA,0
23,7.2,2.62,5,High,UK,0
31,7.6,2.12,2,Medium,Australia,0
33,6.8,3.32,2,Medium,UK,1
27,5.6,2.81,3,Medium,Canada,0
28,7.1,2.99,2,High,Canada,0
28,8.7,3.13,0,Medium,Germany,0
22,7.1,3.54,5,Medium,UK,1
22,5.5,3.07,2,Low,UK,0
24,8.3,3.05,4,Low,Canada,0
24,5.9,2.96,1,Low,UK,0
29,6.5,2.86,3,High,UK,0
21,6.7,3.25,1,Low,UK,0
20,6.4,2.05,1,Medium,UK,0
27,6.6,3.45,3,Medium,USA,1
22,8.2,2.63,1,Medium,USA,0
