job_role,education_level,experience_years,skills,certifications,salary_range,location,target
Database Admin,Bachelors,4,"R, Cloud, DL",Yes,Low,Canada,1
Cybersecurity Analyst,Bachelors,4,"JS, R",Yes,Low,UK,0
AI Engineer,PhD,9,"SQL, Security, JS",No,High,India,1
DevOps Engineer,Bootcamp,7,"Cloud, Security, JS, R",Yes,Medium,Germany,1
DevOps Engineer,PhD,8,"R, CSS",No,Low,UK,1
Web Developer,Bootcamp,0,"DL, ML",No,Medium,Remote,0
AI Engineer,PhD,14,"HTML, Cloud, JS",Yes,Medium,USA,1
AI Engineer,Bootcamp,7,"Python, Cloud, ML",Yes,Medium,Canada,1
Data Scientist,Masters,8,"Excel, Python",Yes,Medium,Canada,1
Data Scientist,Masters,8,"ML, CSS, DL, Excel",No,High,UK,1
Business Analyst,Masters,10,"Cloud, Python, Excel",Yes,Low,Remote,1
Cybersecurity Analyst,Bachelors,8,"Python, DL",Yes,Medium,Germany,1
ML Engineer,Bootcamp,0,"Networking, Excel",No,Medium,Canada,0
Research Scientist,Masters,10,"CSS, Security, Cloud",Yes,Medium,UK,1
Data Scientist,PhD,5,"Python, CSS, Networking, JS",No,Low,Canada,0
DevOps Engineer,Masters,4,"ML, HTML, Python",No,High,Germany,1
Web Developer,PhD,13,"DL, R, JS, Cloud",Yes,Medium,UK,1
Research Scientist,Masters,7,"Python, CSS",No,Low,Canada,1
DevOps Engineer,Bootcamp,7,"HTML, DL, SQL",No,Low,Germany,1
Business Analyst,Bachelors,3,"DL, ML",Yes,High,Remote,1
Database Admin,Masters,13,"CSS, Python, ML, R",No,Medium,Germany,1
Business Analyst,PhD,12,"Security, Python, SQL, ML",No,Medium,Remote,1
Business Analyst,PhD,5,"Networking, R, JS, SQL",Yes,Low,USA,1
AI Engineer,Masters,6,"R, Networking, HTML, CSS",Yes,High,Germany,1
Cybersecurity Analyst,Bootcamp,5,"ML, HTML",Yes,High,Germany,1
AI Engineer,Bootcamp,10,"JS, Security",Yes,High,Remote,1
Data Scientist,Bachelors,9,"CSS, Excel",Yes,Medium,Germany,1
Database Admin,PhD,10,"R, ML, Security, Networking",No,High,Germany,1
Business Analyst,Bootcamp,11,"Security, JS, HTML, DL",Yes,High,UK,1
DevOps Engineer,Bachelors,10,"Excel, SQL, Python, ML",No,Low,Canada,1
Business Analyst,Bachelors,6,"CSS, Python, Excel",Yes,Low,USA,1
Web Developer,Masters,13,"Cloud, ML, CSS",Yes,Low,India,1
AI Engineer,Bootcamp,7,"DL, SQL",No,Low,Canada,1
Database Admin,Masters,8,"ML, Networking, R",No,Low,India,1
Cybersecurity Analyst,PhD,12,"ML, HTML",Yes,High,UK,1
Database Admin,Bootcamp,6,"ML, R, SQL, Python",Yes,Low,Remote,1
DevOps Engineer,Masters,3,"Python, Excel",No,Low,India,0
Database Admin,Masters,7,"DL, ML",No,Low,Remote,1
ML Engineer,PhD,1,"Security, CSS",No,Medium,Germany,0
Cybersecurity Analyst,Bachelors,14,"R, ML",No,High,India,1
ML Engineer,Bachelors,1,"R, Networking, Excel, DL",No,Low,Canada,0
DevOps Engineer,Masters,14,"CSS, SQL, Security, HTML",No,High,India,1
Data Scientist,PhD,7,"JS, HTML, Python, ML",No,High,Germany,1
Cybersecurity Analyst,Bachelors,0,"Excel, SQL, Cloud",Yes,Low,Remote,0
Research Scientist,PhD,11,"HTML, Excel",No,High,India,1
AI Engineer,Bachelors,8,"R, JS, Networking, DL",Yes,High,USA,1
Database Admin,Bootcamp,7,"JS, Networking, SQL",Yes,Medium,UK,1
AI Engineer,Bootcamp,10,"SQL, Python",No,Medium,Remote,0
DevOps Engineer,PhD,12,"Networking, CSS, Python, R",No,Low,USA,1
Data Scientist,Bootcamp,4,"CSS, Python",No,High,USA,0
Research Scientist,Masters,14,"Excel, SQL",No,Medium,Germany,1
Cloud Engineer,PhD,9,"HTML, SQL, Security, JS",Yes,High,Germany,1
Data Scientist,Masters,5,"R, HTML",Yes,Low,India,1
Web Developer,Bootcamp,12,"R, CSS, Security, HTML",No,High,Germany,1
Data Scientist,Bachelors,8,"Cloud, SQL, DL, R",Yes,High,Remote,1
Research Scientist,Masters,2,"Cloud, DL, SQL, Security",No,Low,Germany,1
Research Scientist,Bachelors,6,"Python, CSS, ML, Excel",Yes,Medium,Germany,1
ML Engineer,PhD,5,"Security, Python, SQL, Cloud",Yes,High,UK,1
DevOps Engineer,Masters,13,"Cloud, HTML",No,Medium,Remote,1
Research Scientist,Bachelors,6,"Networking, Python",Yes,Low,Germany,1
AI Engineer,Bachelors,6,"Python, Networking, SQL",Yes,High,USA,1
Cloud Engineer,Bootcamp,5,"HTML, Python, ML",No,High,Germany,1
Cybersecurity Analyst,Bootcamp,7,"Security, Cloud",No,High,Canada,0
DevOps Engineer,Bachelors,3,"Python, Networking, DL, CSS",Yes,High,Remote,1
Research Scientist,Masters,0,"ML, JS, Networking",Yes,Medium,Remote,1
Cybersecurity Analyst,Bootcamp,0,"R, Security, Cloud",No,Medium,USA,0
Cloud Engineer,Bachelors,11,"Python, HTML, ML",Yes,High,Remote,1
Cybersecurity Analyst,PhD,13,"Security, HTML, Excel, Cloud",Yes,Low,Germany,1
ML Engineer,PhD,7,"R, ML, HTML, Python",Yes,Medium,Remote,1
DevOps Engineer,PhD,11,"Networking, Excel, DL",Yes,Medium,USA,1
Cybersecurity Analyst,Bachelors,12,"SQL, HTML",No,Low,USA,1
DevOps Engineer,PhD,10,"SQL, ML, Networking",No,High,Canada,1
Web Developer,Bootcamp,12,"R, Cloud, HTML",No,Low,India,1
AI Engineer,Masters,3,"SQL, ML",Yes,Low,USA,1
Business Analyst,Bootcamp,2,"JS, ML, Python",Yes,High,India,1
Business Analyst,Masters,5,"Excel, SQL",No,Medium,India,0
ML Engineer,PhD,12,"DL, Security",No,High,Canada,1
ML Engineer,Bootcamp,3,"Python, JS, CSS",Yes,High,Canada,1
AI Engineer,Masters,14,"DL, Networking, Python, JS",No,Low,Canada,1
Cybersecurity Analyst,Bachelors,0,"R, ML, CSS, Networking",No,Medium,Remote,0
Database Admin,Bachelors,8,"Python, JS, Cloud, SQL",No,High,India,1
Business Analyst,PhD,9,"ML, DL",No,Medium,Germany,1
AI Engineer,Bachelors,6,"ML, DL, CSS",No,Medium,USA,1
AI Engineer,PhD,14,"Cloud, Networking, SQL",Yes,Medium,Remote,1
Cloud Engineer,Bootcamp,9,"Cloud, DL, ML, Security",Yes,Medium,India,1
DevOps Engineer,Masters,3,"HTML, ML, Python, DL",Yes,Medium,UK,1
Business Analyst,PhD,1,"R, SQL, CSS",No,High,Canada,0
DevOps Engineer,PhD,7,"Python, ML, Cloud",Yes,Medium,Germany,1
ML Engineer,Bachelors,8,"DL, ML, Python",Yes,Medium,Germany,1
Database Admin,Masters,4,"CSS, Python, Networking",No,High,India,1
Cloud Engineer,Bootcamp,7,"CSS, Cloud",No,High,UK,0
Cloud Engineer,PhD,13,"Excel, Networking, SQL",Yes,Medium,Canada,1
Research Scientist,PhD,3,"Python, Cloud, CSS",Yes,Low,USA,1
Database Admin,PhD,14,"JS, R, Excel, HTML",No,High,UK,1
Data Scientist,Bootcamp,9,"Cloud, CSS",Yes,High,Remote,1
Web Developer,Bachelors,11,"Security, HTML",No,Medium,USA,1
Research Scientist,Bachelors,11,"Python, CSS, DL",No,Low,India,1
Research Scientist,PhD,10,"ML, HTML",Yes,Low,Remote,1
Business Analyst,Masters,6,"CSS, JS",Yes,Low,India,1
Database Admin,Bachelors,9,"R, Networking, Excel, SQL",No,Low,USA,0
Cybersecurity Analyst,Masters,12,"CSS, DL, ML",No,Medium,Canada,1
Data Scientist,PhD,13,"Cloud, Excel, JS",No,Medium,USA,1
DevOps Engineer,Bootcamp,7,"Python, Networking, R, JS",No,High,Canada,1
DevOps Engineer,PhD,3,"ML, SQL, Python, Cloud",Yes,Low,Germany,1
AI Engineer,Bootcamp,13,"CSS, Cloud, Networking, ML",Yes,High,Remote,1
Business Analyst,PhD,4,"JS, Networking, R",No,Low,UK,0
DevOps Engineer,Masters,1,"DL, Cloud, SQL, HTML",No,Medium,India,1
Research Scientist,Masters,5,"Excel, ML",No,Medium,USA,1
DevOps Engineer,Masters,14,"SQL, Security, HTML, ML",No,High,Germany,1
Database Admin,Bachelors,5,"Excel, JS, HTML",No,Medium,Canada,0
Research Scientist,Masters,1,"R, Cloud, JS, DL",Yes,High,Canada,1
Web Developer,PhD,9,"ML, SQL",Yes,High,USA,1
Business Analyst,Masters,5,"DL, SQL, ML",Yes,Medium,India,1
Database Admin,Bootcamp,6,"ML, Cloud, SQL",No,Medium,USA,1
ML Engineer,PhD,7,"SQL, CSS, Excel, DL",Yes,Low,Canada,1
Cloud Engineer,PhD,5,"R, CSS",Yes,Medium,USA,1
AI Engineer,Masters,12,"Python, Networking, Cloud, JS",No,Medium,India,1
Database Admin,Masters,10,"DL, Networking, Python",No,Medium,UK,1
Database Admin,Masters,3,"Networking, DL, Cloud",Yes,Low,Canada,1
Business Analyst,Masters,0,"Networking, DL, Cloud",No,Low,USA,1
Cloud Engineer,PhD,0,"DL, JS, Excel, Security",Yes,Low,Canada,1
Database Admin,Masters,9,"Networking, R, JS, Cloud",Yes,High,UK,1
Web Developer,Masters,3,"Cloud, JS, Networking",No,Medium,USA,0
Business Analyst,PhD,12,"DL, Python, HTML, R",Yes,Medium,Canada,1
Cloud Engineer,PhD,10,"JS, CSS, SQL",Yes,High,Remote,1
ML Engineer,Bachelors,10,"CSS, R",No,Low,UK,0
Business Analyst,Bootcamp,3,"Python, HTML, SQL, ML",Yes,Low,Canada,1
Business Analyst,Bootcamp,6,"Cloud, Networking, SQL",Yes,Low,USA,1
Cybersecurity Analyst,PhD,10,"Cloud, JS, Python",No,High,Germany,1
Cybersecurity Analyst,Bootcamp,5,"Cloud, Python, JS, Excel",No,High,UK,0
Web Developer,Bootcamp,8,"R, Networking, DL",No,Medium,UK,1
Cloud Engineer,Masters,14,"JS, Networking, SQL",Yes,Medium,UK,1
Research Scientist,Bachelors,3,"Cloud, DL",Yes,Low,UK,1
Cloud Engineer,Masters,0,"Cloud, R, Security",Yes,Medium,Germany,1
AI Engineer,Bootcamp,11,"SQL, Cloud",Yes,High,USA,1
Data Scientist,Masters,7,"Security, Excel, SQL, ML",Yes,High,India,1
AI Engineer,Masters,2,"HTML, Security, ML",Yes,Medium,Remote,1
Research Scientist,Masters,4,"Security, Cloud, DL, JS",Yes,Low,USA,1
DevOps Engineer,Bootcamp,2,"R, HTML, JS, Security",Yes,Low,Remote,1
Database Admin,Bachelors,5,"CSS, Security, JS",Yes,Low,Canada,0
Cloud Engineer,Bachelors,3,"Networking, DL, ML, Excel",Yes,High,USA,1
ML Engineer,PhD,6,"Python, R",No,Medium,USA,1
Database Admin,Bootcamp,0,"Security, JS",No,Low,Canada,0
AI Engineer,Bachelors,9,"SQL, Cloud, Excel, DL",No,Medium,Remote,1
AI Engineer,PhD,13,"Cloud, JS, DL, Python",Yes,Medium,Germany,1
DevOps Engineer,Masters,0,"Networking, Excel",No,Medium,UK,0
Cybersecurity Analyst,Bachelors,3,"SQL, CSS",No,High,India,0
Research Scientist,PhD,4,"Cloud, HTML, DL, ML",Yes,Medium,India,1
ML Engineer,Masters,8,"JS, Cloud, ML, R",Yes,High,Canada,1
DevOps Engineer,Masters,14,"Python, ML, Excel",No,Low,Canada,1
DevOps Engineer,PhD,0,"JS, Excel",No,Low,UK,0
Business Analyst,Masters,13,"SQL, ML, Python, HTML",No,Low,Germany,1
Cybersecurity Analyst,Bootcamp,0,"Security, CSS, HTML, Cloud",No,Low,UK,0
Cloud Engineer,Bootcamp,9,"Python, Excel, R, DL",No,Low,Remote,1
DevOps Engineer,Masters,8,"Cloud, SQL, Networking, ML",No,High,Canada,1
Cloud Engineer,PhD,14,"JS, R",Yes,Medium,UK,1
Cybersecurity Analyst,Bootcamp,12,"CSS, JS, Cloud, ML",Yes,High,Remote,1
Database Admin,Bachelors,2,"Security, HTML, Excel",No,Medium,USA,0
Cybersecurity Analyst,Bootcamp,4,"HTML, ML, Security, JS",Yes,Low,Canada,1
Data Scientist,Bootcamp,7,"R, ML",Yes,Medium,Remote,1
Business Analyst,Bootcamp,11,"HTML, Cloud, Security",Yes,Medium,Germany,1
Research Scientist,Bachelors,6,"ML, R, SQL, JS",Yes,Low,USA,1
Database Admin,Masters,14,"SQL, CSS",Yes,Low,UK,1
Cloud Engineer,PhD,13,"DL, CSS",No,Low,Remote,1
Database Admin,PhD,14,"Excel, JS, SQL",Yes,Low,USA,1
Web Developer,Masters,6,"HTML, Excel, ML, R",Yes,Medium,Remote,1
Research Scientist,Bootcamp,8,"Python, Cloud, JS, HTML",Yes,High,Germany,1
Research Scientist,Bachelors,1,"Python, JS, Networking, Cloud",Yes,Medium,USA,0
Data Scientist,Masters,3,"DL, Cloud, JS, Python",Yes,High,Remote,1
ML Engineer,Bootcamp,12,"JS, Python, Networking",No,Low,UK,0
Cybersecurity Analyst,Masters,12,"DL, Cloud, ML, SQL",Yes,High,India,1
Database Admin,Bachelors,12,"Cloud, CSS",Yes,Low,USA,1
Database Admin,Bachelors,0,"CSS, R",Yes,High,UK,0
Data Scientist,PhD,11,"Python, Excel, JS, Networking",No,Medium,India,1
Cloud Engineer,PhD,6,"Excel, Networking, R",Yes,High,USA,1
Cloud Engineer,Masters,7,"HTML, CSS",Yes,High,Germany,1
DevOps Engineer,Bachelors,4,"Networking, Python, SQL",Yes,High,Remote,1
Web Developer,Bootcamp,8,"SQL, Networking, Security",No,Medium,Germany,0
Cloud Engineer,Bootcamp,10,"R, JS, CSS",Yes,High,USA,1
Cloud Engineer,PhD,12,"HTML, DL, Security",Yes,Low,India,1
Research Scientist,Bootcamp,6,"JS, ML",Yes,Medium,Remote,1
Cloud Engineer,PhD,6,"SQL, Security, CSS, Networking",No,High,India,1
Cybersecurity Analyst,Masters,5,"R, HTML, SQL, Cloud",Yes,Low,India,1
Data Scientist,Bachelors,12,"Networking, Cloud, CSS, Security",No,Low,USA,0
Research Scientist,Masters,6,"CSS, Python, SQL",No,Medium,India,1
Database Admin,Masters,2,"SQL, HTML, Security",No,Low,USA,1
AI Engineer,PhD,5,"DL, JS",No,Medium,Germany,1
Data Scientist,PhD,8,"CSS, R",Yes,Medium,USA,1
Data Scientist,PhD,12,"SQL, Cloud, DL",No,High,Remote,1
Cybersecurity Analyst,Bachelors,6,"Security, DL",No,Medium,Germany,1
Cybersecurity Analyst,PhD,8,"R, Cloud",Yes,Medium,UK,1
Cybersecurity Analyst,Bachelors,14,"ML, Security",Yes,Low,USA,1
Research Scientist,Bootcamp,2,"Security, Excel, Networking",Yes,Low,Germany,0
Cybersecurity Analyst,Bachelors,1,"Python, R, CSS",No,Low,India,0
Cybersecurity Analyst,PhD,11,"SQL, CSS, Excel, Security",No,High,UK,1
Business Analyst,Bootcamp,0,"ML, Security",No,Low,India,0
DevOps Engineer,Masters,12,"Networking, DL",No,High,Remote,1
ML Engineer,PhD,3,"SQL, Networking",Yes,Low,Remote,1
AI Engineer,Bootcamp,3,"JS, Python, Excel, Networking",No,Low,India,0
Research Scientist,Masters,1,"CSS, HTML",No,Medium,Remote,1
Cloud Engineer,Bootcamp,13,"ML, R, SQL, CSS",No,Low,UK,1
ML Engineer,Bootcamp,10,"JS, Python",No,Medium,UK,0
Cybersecurity Analyst,Bachelors,6,"CSS, R, Networking",No,Low,USA,0
Research Scientist,Masters,12,"Cloud, SQL",Yes,High,UK,1
Cybersecurity Analyst,Bootcamp,9,"Python, Cloud",Yes,High,Germany,1
AI Engineer,Masters,0,"CSS, JS, DL",No,Low,UK,1
ML Engineer,Bootcamp,12,"Security, Networking",Yes,Medium,India,1
Data Scientist,Bootcamp,1,"HTML, Security, JS, DL",Yes,Medium,Canada,1
Cloud Engineer,Bachelors,5,"CSS, Cloud",No,Medium,USA,0
ML Engineer,PhD,3,"DL, CSS, JS",No,Medium,UK,1
Data Scientist,Masters,3,"Cloud, ML",No,Medium,Remote,1
Cybersecurity Analyst,Masters,12,"Networking, Python, ML",No,High,Canada,1
Cybersecurity Analyst,Bachelors,4,"Excel, JS, Security, SQL",Yes,Medium,Germany,0
Cybersecurity Analyst,PhD,8,"Networking, HTML, Cloud",Yes,Low,UK,1
Data Scientist,PhD,6,"JS, DL, HTML, Python",Yes,High,UK,1
Data Scientist,PhD,3,"Cloud, ML",No,Low,Remote,1
Cloud Engineer,Masters,13,"CSS, Excel",No,Medium,Canada,1
ML Engineer,Bachelors,4,"Security, R, SQL",Yes,Medium,Remote,0
DevOps Engineer,Masters,13,"Excel, Cloud",No,Low,Germany,1
Web Developer,PhD,11,"DL, Security, JS, CSS",No,High,Germany,1
Database Admin,Bootcamp,8,"SQL, Python, Cloud, ML",No,Low,India,1
Database Admin,Masters,0,"CSS, HTML, Security",Yes,Medium,India,1
Research Scientist,PhD,14,"R, ML, Excel",Yes,High,UK,1
DevOps Engineer,Bachelors,11,"CSS, ML, Networking",Yes,Low,UK,1
Cloud Engineer,PhD,1,"ML, CSS, Cloud",No,High,Canada,1
DevOps Engineer,PhD,13,"Networking, Python",No,Medium,USA,1
Cloud Engineer,Masters,10,"ML, Excel",Yes,High,USA,1
Research Scientist,Bootcamp,0,"R, Networking",No,High,USA,0
ML Engineer,Bootcamp,9,"Security, ML",Yes,Low,Germany,1
Cloud Engineer,PhD,10,"Security, HTML",No,Medium,Germany,1
DevOps Engineer,Bootcamp,13,"Python, Security, Networking, HTML",No,Medium,USA,1
Research Scientist,Masters,14,"Excel, ML, Cloud, HTML",Yes,High,Remote,1
Database Admin,Masters,14,"DL, Networking",No,Medium,Germany,1
Research Scientist,Masters,13,"Excel, Security, R, JS",Yes,Medium,Canada,1
ML Engineer,Bootcamp,14,"SQL, HTML, R",No,Low,USA,1
AI Engineer,Masters,11,"SQL, DL",No,Medium,Germany,1
Cybersecurity Analyst,Bachelors,10,"Networking, SQL",No,Medium,Remote,0
Business Analyst,Bachelors,7,"R, HTML",No,Medium,India,1
Business Analyst,Bachelors,4,"Cloud, R",Yes,Medium,Canada,0
AI Engineer,Bachelors,6,"DL, JS, HTML, Networking",Yes,High,India,1
Research Scientist,PhD,8,"SQL, Security",Yes,High,Canada,1
Database Admin,Bootcamp,1,"R, Security, HTML",Yes,Medium,India,1
Database Admin,Masters,9,"Python, HTML, SQL, DL",No,Medium,Germany,1
Cloud Engineer,Masters,11,"Excel, R, HTML",Yes,Low,Germany,1
Business Analyst,PhD,3,"JS, HTML, SQL, Cloud",No,High,Canada,1
DevOps Engineer,Bootcamp,6,"CSS, Cloud, R, HTML",Yes,Medium,Germany,1
ML Engineer,Bootcamp,10,"HTML, Excel, ML",No,Low,UK,1
Web Developer,Bachelors,8,"JS, HTML",Yes,High,USA,1
Research Scientist,Bootcamp,4,"ML, Networking, JS",Yes,Low,UK,1
Web Developer,Bootcamp,0,"Python, CSS, JS",Yes,High,USA,1
DevOps Engineer,Masters,1,"JS, Cloud, R",No,Low,India,0
Cybersecurity Analyst,Bachelors,8,"JS, HTML",Yes,Low,Canada,1
AI Engineer,Bachelors,12,"Python, SQL, Excel, R",Yes,High,Germany,1
ML Engineer,Bootcamp,9,"R, CSS, SQL, JS",Yes,High,Remote,1
Cloud Engineer,PhD,7,"HTML, DL, R",No,High,Remote,1
Data Scientist,PhD,12,"SQL, Cloud, DL",No,Low,USA,1
Database Admin,Bachelors,5,"Excel, HTML, Security, Networking",Yes,Low,USA,1
ML Engineer,Masters,9,"R, JS",No,High,Remote,1
ML Engineer,Bachelors,11,"Networking, Cloud, JS",No,Medium,Remote,0
ML Engineer,PhD,3,"R, Python, SQL",No,Medium,USA,0
ML Engineer,PhD,11,"HTML, R, Security",No,Low,Remote,1
Web Developer,PhD,10,"R, DL, SQL",Yes,Medium,Remote,1
Cybersecurity Analyst,Bachelors,1,"Python, HTML, JS, Security",Yes,High,Remote,1
ML Engineer,Bachelors,6,"Cloud, ML, Security, Excel",No,High,Remote,1
DevOps Engineer,Masters,3,"Networking, Security, DL, R",Yes,Low,India,1
AI Engineer,Bachelors,0,"Security, SQL",Yes,Low,USA,0
Cloud Engineer,Bootcamp,1,"Excel, Networking",Yes,Medium,UK,0
Data Scientist,PhD,9,"SQL, DL",No,Medium,Remote,1
ML Engineer,Masters,14,"CSS, Security, Excel, ML",No,Medium,Canada,1
Database Admin,PhD,12,"Networking, HTML",No,High,Canada,1
Business Analyst,Bachelors,9,"Python, DL, R",Yes,Low,Remote,1
AI Engineer,Bachelors,5,"HTML, CSS, Networking, Python",No,High,Canada,1
Web Developer,Bachelors,2,"Excel, Security, Cloud, DL",No,Low,Remote,0
Data Scientist,Masters,14,"Networking, DL, SQL",Yes,High,Canada,1
Web Developer,Bootcamp,2,"CSS, Networking, JS, HTML",Yes,Medium,Remote,1
Web Developer,PhD,10,"JS, R, Networking, Excel",Yes,High,UK,1
Database Admin,Bootcamp,12,"HTML, Cloud, ML",No,Low,USA,1
Research Scientist,PhD,5,"Cloud, ML, Excel, Security",Yes,Low,Canada,1
Cloud Engineer,PhD,8,"DL, Security, ML",Yes,Medium,India,1
DevOps Engineer,Masters,1,"Security, JS, Cloud, R",Yes,Medium,India,1
Web Developer,PhD,14,"DL, HTML, Cloud",No,High,UK,1
Business Analyst,Masters,1,"Networking, DL",Yes,Medium,UK,1
Data Scientist,Bootcamp,7,"R, SQL, Excel",Yes,Low,USA,1
Business Analyst,Masters,7,"R, Python, HTML",No,High,Canada,1
Research Scientist,PhD,10,"ML, JS, Security",Yes,Medium,UK,1
Data Scientist,Masters,6,"Excel, CSS, HTML",No,Medium,UK,1
Web Developer,Masters,13,"Networking, Python, R",No,Low,UK,1
Data Scientist,Masters,4,"Cloud, DL, Excel, HTML",No,Low,Remote,1
ML Engineer,Bachelors,0,"Cloud, R, ML",Yes,Medium,Canada,1
Cybersecurity Analyst,PhD,7,"CSS, Cloud",Yes,Low,India,1
Cybersecurity Analyst,Bachelors,2,"Excel, R, Networking",No,High,Canada,0
Cloud Engineer,Bootcamp,4,"Cloud, HTML",Yes,High,Remote,1
Web Developer,PhD,6,"DL, Python",No,High,Canada,1
Database Admin,Bootcamp,7,"ML, DL, Excel, JS",No,Medium,India,1
Cloud Engineer,Bootcamp,11,"CSS, SQL, Security",Yes,Low,UK,1
Cybersecurity Analyst,Masters,3,"Networking, Cloud, Excel",Yes,High,Remote,1
Data Scientist,Bootcamp,0,"ML, DL, Security",No,Low,Germany,0
Cloud Engineer,Bachelors,13,"ML, SQL",No,Low,India,1
ML Engineer,Masters,7,"DL, ML, Networking",No,Medium,Germany,1
Research Scientist,Bachelors,3,"ML, SQL",No,Low,Canada,0
ML Engineer,Bootcamp,10,"ML, Python, SQL, DL",Yes,Low,Remote,1
Web Developer,PhD,6,"Excel, Python",No,Low,India,1
Web Developer,Bachelors,7,"JS, Security",Yes,High,USA,1
Data Scientist,Bootcamp,7,"Networking, CSS, ML",No,High,Canada,1
AI Engineer,Masters,9,"Python, CSS, JS",No,Medium,Remote,1
Business Analyst,PhD,5,"HTML, R, Cloud",No,Low,India,1
Database Admin,Masters,0,"JS, Cloud",No,Medium,Canada,0
Database Admin,Masters,10,"Excel, Python, CSS, SQL",No,High,India,1
Cloud Engineer,Bachelors,2,"Python, HTML, Excel, ML",No,Low,India,0
Database Admin,PhD,12,"JS, DL",Yes,High,UK,1
Database Admin,Bachelors,0,"Excel, CSS, HTML",No,Medium,UK,0
DevOps Engineer,Bootcamp,5,"Excel, Security, Python, SQL",No,Low,Germany,0
AI Engineer,PhD,9,"DL, Cloud",No,Medium,Canada,1
Data Scientist,Bootcamp,10,"Networking, Security, Excel, SQL",Yes,High,Germany,1
Data Scientist,Masters,3,"HTML, R, ML",No,High,Remote,1
ML Engineer,Bootcamp,10,"Excel, Networking, Security",No,Low,USA,0
AI Engineer,PhD,13,"JS, Python, ML, SQL",Yes,High,Canada,1
Business Analyst,Bachelors,9,"JS, Cloud, R",No,Medium,USA,0
DevOps Engineer,Bachelors,9,"SQL, R, HTML",No,Medium,USA,1
Data Scientist,Masters,2,"Cloud, Excel",Yes,Low,Germany,1
Data Scientist,Bachelors,7,"Cloud, HTML",Yes,High,Germany,1
AI Engineer,Bachelors,9,"JS, Python, ML",Yes,Low,Canada,1
AI Engineer,Masters,1,"Cloud, HTML",Yes,High,Remote,1
Cloud Engineer,Bootcamp,13,"CSS, Networking, Cloud, ML",No,Low,Germany,1
DevOps Engineer,Bootcamp,6,"CSS, Security, Networking, DL",Yes,Medium,Canada,1
Cybersecurity Analyst,Bachelors,8,"Python, Security, CSS",No,Medium,USA,0
Research Scientist,PhD,1,"Networking, R, JS",Yes,High,Canada,1
Cloud Engineer,PhD,0,"Networking, SQL",No,Low,Canada,0
Business Analyst,PhD,8,"Excel, Security",Yes,Low,India,1
DevOps Engineer,PhD,2,"HTML, ML",Yes,Medium,Remote,1
AI Engineer,Bootcamp,3,"Python, HTML",Yes,High,India,1
Business Analyst,Bachelors,8,"DL, R, Excel",No,Medium,Canada,1
Database Admin,PhD,1,"Security, HTML, ML",No,High,Remote,1
Research Scientist,Bachelors,10,"Python, Security, Networking, DL",Yes,Medium,Remote,1
Cloud Engineer,PhD,8,"HTML, Python, ML",Yes,Low,Remote,1
AI Engineer,Bachelors,2,"CSS, Cloud, DL",No,Medium,USA,0
DevOps Engineer,PhD,14,"Networking, SQL, Excel, JS",Yes,Medium,USA,1
Cloud Engineer,PhD,4,"HTML, R",Yes,Medium,UK,1
Business Analyst,Bachelors,2,"Cloud, CSS",Yes,High,USA,0
Research Scientist,Masters,6,"Security, DL, Cloud, ML",No,High,Canada,1
Web Developer,PhD,5,"CSS, DL",Yes,Low,UK,1
Database Admin,Masters,12,"ML, Excel",Yes,Low,UK,1
Business Analyst,Bachelors,9,"Security, Networking, Excel",Yes,Low,Remote,1
Database Admin,Bootcamp,13,"JS, ML",No,Medium,India,1
Cybersecurity Analyst,Bachelors,12,"Security, Excel",No,High,USA,0
Data Scientist,Masters,1,"ML, SQL, Networking",Yes,Low,Remote,1
Web Developer,Masters,14,"Networking, ML, JS",Yes,High,Germany,1
Cloud Engineer,Bootcamp,10,"Security, Cloud",No,Medium,Remote,0
Web Developer,Bachelors,9,"Networking, R",No,Low,Canada,0
ML Engineer,Bootcamp,3,"CSS, Excel",No,Low,USA,0
Research Scientist,Masters,8,"SQL, R",No,Medium,USA,1
Data Scientist,PhD,1,"Python, Security",Yes,Low,Germany,1
Data Scientist,Masters,10,"JS, DL, Excel",No,High,UK,1
AI Engineer,Bachelors,0,"Security, Excel, Networking",No,High,USA,0
Cybersecurity Analyst,PhD,2,"HTML, Security",Yes,Medium,Remote,1
Database Admin,PhD,11,"Security, JS, Networking, SQL",Yes,High,UK,1
AI Engineer,Masters,8,"DL, Excel, Security, Python",Yes,Medium,USA,1
Business Analyst,Masters,12,"Excel, Security, SQL",No,Medium,USA,1
Research Scientist,PhD,0,"DL, Security, JS",No,Medium,Germany,1
Research Scientist,Bootcamp,4,"Python, CSS",Yes,High,UK,1
Data Scientist,Masters,11,"Security, JS, HTML, ML",Yes,High,Germany,1
DevOps Engineer,PhD,14,"Python, JS, R, Excel",No,High,Germany,1
ML Engineer,Bootcamp,8,"DL, R",Yes,Low,Canada,1
Data Scientist,Bootcamp,8,"Networking, Cloud, DL",Yes,Medium,Germany,1
DevOps Engineer,Bootcamp,5,"Python, Networking",No,High,Remote,0
Cybersecurity Analyst,PhD,6,"HTML, ML, Excel, Security",Yes,High,India,1
Cybersecurity Analyst,PhD,7,"Security, Python, HTML, SQL",No,Medium,Remote,1
Business Analyst,Bachelors,11,"Networking, DL",No,Medium,India,1
DevOps Engineer,PhD,10,"R, SQL",Yes,Medium,UK,1
