Year,Country,CO2_Emissions,Temperature_Anomaly,Sea_Level_Rise_mm,Deforestation_Rate,Renewable_Energy_%,Population_Millions,Urbanization_%,Greenhouse_Gases_ppm,Climate_Risk_Level
2024,Pakistan,5715.09,0.989,2.69,0.47,29.27,88.83,47.17,357.41,Low
2004,Pakistan,5192.77,0.673,3.53,0.54,37.88,739.4,73.0,438.28,Low
2012,Brazil,5972.34,1.49,1.51,2.74,53.36,13.46,55.92,413.28,Medium
2017,UK,4634.11,0.892,2.56,0.15,18.24,1035.69,54.19,413.13,Low
2020,Brazil,4549.11,0.586,2.83,1.99,55.69,904.19,57.41,406.32,Low
1987,UK,3762.53,1.015,3.35,0.98,11.14,592.08,45.41,410.84,Low
1990,Pakistan,8260.57,1.054,5.02,1.06,29.87,44.04,57.14,411.54,High
2001,Germany,4882.26,0.809,2.89,2.42,42.57,731.69,29.76,347.5,Low
2003,Germany,5653.29,0.994,3.45,2.68,17.01,522.9,36.28,416.71,Low
2020,UK,4682.99,0.695,2.24,2.07,49.57,917.05,64.45,396.36,Low
1996,USA,7387.83,0.833,5.16,0.67,58.18,549.71,64.01,411.07,High
1991,USA,4983.18,0.833,2.05,2.35,12.35,180.98,73.49,413.32,Low
2011,India,5491.23,1.807,3.68,4.0,11.59,917.78,47.08,423.24,High
1994,China,3691.45,1.335,4.58,3.39,58.66,462.5,41.54,391.0,Medium
1995,USA,7640.7,1.0,2.5,2.59,20.46,776.46,61.1,441.96,High
2001,USA,5325.49,0.95,2.09,0.71,19.09,10.35,60.69,400.59,Low
2007,UK,7695.29,1.366,3.65,3.04,23.48,1391.86,48.17,444.82,High
1999,Canada,4098.88,1.348,4.09,2.52,50.22,1065.93,46.21,397.4,Medium
2012,Germany,4337.01,0.896,2.15,4.13,11.88,598.94,28.28,382.61,High
1989,India,4209.28,1.7,3.61,0.76,15.61,1005.19,54.48,406.79,Medium
2019,USA,4574.5,0.896,1.89,1.94,49.99,196.09,43.12,391.84,Low
2011,Australia,6005.83,0.918,2.03,0.5,42.28,23.13,87.49,356.44,High
2012,Germany,1927.54,1.169,2.52,2.62,39.49,536.47,50.39,354.27,Low
1981,Brazil,4927.6,1.041,2.97,4.52,29.75,987.09,33.23,408.99,High
2012,China,3828.99,0.844,0.01,4.72,15.47,652.93,46.14,363.86,High
2012,Russia,3667.92,0.914,2.91,0.15,16.85,427.13,24.74,471.55,Low
2020,Russia,5702.37,0.814,3.71,1.85,19.66,71.71,25.9,436.36,Low
1992,India,5450.02,1.022,3.78,1.63,45.95,287.45,44.03,386.25,Low
2009,Canada,6294.61,0.949,4.69,3.17,12.87,891.85,60.19,407.89,High
2012,USA,5581.08,1.135,1.36,3.54,20.39,846.72,65.75,404.97,High
1992,Germany,5269.62,1.078,2.93,0.94,33.61,34.78,38.34,400.9,Low
2005,Germany,4162.14,0.737,5.54,0.92,41.59,1110.74,58.79,408.17,Medium
2001,India,3609.68,0.855,3.73,1.42,17.8,737.75,26.23,457.44,Low
2018,Australia,5898.67,1.33,3.03,0.13,19.84,22.01,43.84,391.5,Medium
1981,Brazil,4616.25,0.968,3.53,2.87,20.35,823.54,72.14,383.0,Low
2017,Canada,5598.82,0.698,3.65,3.49,55.38,1072.28,54.03,379.27,Low
2018,Canada,4993.23,0.919,6.86,0.02,44.74,1327.71,29.93,410.99,Medium
2005,Germany,1934.6,0.998,2.03,2.16,21.57,1034.97,62.12,413.69,Low
1994,Australia,5725.25,1.649,2.28,2.28,57.75,193.85,21.59,433.45,Medium
2013,Australia,4061.19,0.888,3.27,3.05,34.34,283.31,86.93,421.89,Low
2021,Germany,6296.3,0.901,3.48,3.76,39.18,1289.99,51.13,389.52,High
2023,Australia,2211.69,1.065,4.92,4.33,41.59,587.04,58.26,422.5,High
2019,USA,7848.59,1.198,2.31,0.78,43.67,211.41,23.9,387.89,High
1990,India,4106.01,1.597,1.64,1.98,38.89,56.76,42.32,466.13,Medium
1982,China,5706.79,0.927,1.54,2.99,29.92,24.79,50.2,427.44,Low
1985,Pakistan,3931.13,0.941,1.54,2.45,20.57,913.59,60.68,396.48,Low
1988,Australia,4135.01,0.645,1.81,3.32,33.61,233.86,33.21,420.32,Low
1985,Germany,6027.95,0.62,4.28,2.84,40.67,1264.84,29.91,435.42,High
1988,Russia,4696.97,1.009,3.47,1.64,37.04,628.61,24.28,454.94,Low
2018,Russia,4801.14,0.736,4.27,4.59,38.46,943.86,23.14,390.56,High
2010,USA,6274.19,0.536,2.47,4.11,14.61,219.78,86.38,432.95,High
2011,USA,5283.4,0.778,4.17,3.64,20.98,139.58,42.89,409.2,High
2020,USA,5672.39,0.632,2.06,1.94,43.07,23.34,27.62,413.22,Low
1991,USA,4062.93,0.981,2.52,0.26,45.47,829.83,20.62,402.85,Low
1987,Russia,5999.83,0.621,4.15,4.87,22.46,168.73,48.36,398.14,High
1987,USA,5167.41,0.885,-0.02,3.39,48.94,21.65,49.3,437.24,Low
2007,Canada,5645.6,1.142,4.22,1.44,39.41,1349.87,59.19,424.37,Medium
1999,UK,5545.65,0.934,2.9,2.27,36.99,1348.78,56.93,427.04,Low
1986,Russia,6694.33,0.974,5.03,1.24,52.57,739.43,57.97,461.52,High
1990,Russia,5757.23,0.646,2.42,3.71,57.81,51.3,58.44,394.4,High
1999,Brazil,3260.05,1.186,2.95,3.22,40.42,962.42,76.64,438.41,Low
1995,Russia,4108.27,1.071,3.64,2.6,25.29,348.44,26.35,426.67,Low
1983,UK,5339.48,0.963,2.43,1.88,21.16,125.7,44.26,400.71,Low
1985,Australia,5597.62,1.062,3.85,1.53,25.65,574.16,84.15,422.92,Medium
2001,Russia,3012.67,0.951,3.72,4.07,28.74,1041.94,50.24,414.52,High
2005,Canada,3511.43,1.129,4.96,1.96,54.2,521.6,78.04,394.58,Medium
1982,Russia,6640.35,1.214,6.57,2.38,28.19,288.53,25.39,432.9,High
2020,Australia,7948.71,0.885,4.84,0.87,55.19,1382.64,41.0,439.65,High
2021,Brazil,2518.6,0.863,2.69,4.33,52.9,467.06,37.23,416.03,High
1993,Pakistan,5387.28,0.83,3.17,1.23,35.2,863.68,59.2,453.62,Low
1990,India,5071.82,0.788,2.86,0.85,23.2,461.48,63.72,377.67,Low
1997,Australia,6517.11,0.733,3.35,3.12,33.69,1119.33,31.02,450.89,High
1991,Russia,5744.55,0.985,3.09,0.67,58.26,212.56,34.66,389.82,Low
2002,India,6243.65,0.905,3.65,4.89,23.27,1325.71,84.99,434.48,High
1991,USA,1578.75,0.987,4.18,2.8,38.57,871.99,86.2,417.07,Medium
1992,China,4989.3,1.123,5.47,0.23,12.62,619.58,48.82,415.63,Medium
2004,Pakistan,3640.74,1.089,1.6,0.7,25.57,261.5,27.34,368.04,Low
2024,Australia,3679.13,1.389,4.43,4.67,55.28,1129.86,48.61,441.05,High
1998,India,3160.93,1.013,5.07,2.74,47.55,1009.59,81.96,371.96,Medium
2015,UK,5342.57,0.928,2.94,1.77,56.46,943.12,83.56,421.08,Low
2024,Germany,5500.15,1.023,1.62,3.48,30.02,776.54,43.09,438.76,Low
1987,UK,5946.42,1.194,2.45,1.86,53.95,1118.17,84.68,426.6,Low
2008,Pakistan,4395.39,1.611,3.27,0.71,43.59,1160.0,77.18,405.9,Medium
2011,Russia,7076.21,1.1,2.75,3.72,52.92,873.79,87.48,399.84,High
2023,UK,3601.93,1.055,2.1,1.82,56.96,1075.53,25.88,366.26,Low
1997,Australia,2851.14,1.315,4.41,4.9,46.15,610.39,57.06,416.75,High
1985,Brazil,5328.19,0.86,4.82,1.34,53.61,1191.52,85.26,412.59,Medium
1997,China,3973.25,0.972,2.5,0.39,39.76,813.85,32.31,391.63,Low
1998,UK,5797.7,1.092,3.2,2.91,31.08,411.91,23.97,417.2,Low
2001,China,4013.39,0.76,3.67,0.5,17.36,134.76,35.4,422.87,Low
2016,Australia,4131.61,0.593,4.25,3.98,10.42,1326.38,50.56,434.79,High
2011,USA,4009.77,1.186,4.5,1.85,22.37,1298.65,66.38,398.16,Medium
2020,India,3902.01,0.706,3.3,4.87,28.43,556.42,71.24,389.0,High
1982,Pakistan,4997.09,1.292,4.11,4.5,26.07,914.63,32.46,432.7,High
2007,Australia,5358.76,0.889,2.03,2.58,54.91,219.57,35.15,446.53,Low
1989,Canada,3899.25,0.951,3.64,1.77,21.64,20.84,51.65,437.07,Low
2014,Germany,3244.03,0.468,4.16,4.95,46.61,1388.98,77.64,401.75,High
2008,Canada,5748.02,1.126,1.79,1.79,19.58,1349.85,37.32,418.37,Low
1994,Canada,5581.86,1.149,1.31,0.58,54.42,527.7,56.78,416.65,Low
2012,China,6071.95,1.157,5.5,3.69,19.05,763.85,72.03,426.37,High
1986,UK,3434.97,1.239,2.16,4.14,58.33,162.56,52.44,371.32,High
1991,Australia,3759.8,0.471,4.19,1.62,28.6,524.9,52.87,386.98,Medium
2009,Russia,6234.86,0.623,2.28,1.39,52.45,996.72,35.5,410.98,High
2000,Pakistan,6344.07,0.603,3.95,2.14,22.7,173.09,72.75,407.96,High
2010,Brazil,4386.34,0.879,2.18,0.99,43.18,761.89,20.85,409.11,Low
2003,Canada,3571.08,0.736,3.28,4.47,42.8,1271.83,74.66,444.49,High
1999,Germany,3947.75,1.102,4.76,4.27,41.77,1101.24,77.6,394.58,High
2016,UK,3551.76,0.994,3.38,3.53,34.51,270.72,46.4,406.18,High
1983,India,6196.88,1.131,1.04,4.13,56.85,449.73,64.12,425.41,High
2007,Australia,6069.35,1.151,3.09,1.26,33.16,1001.05,69.17,404.92,High
2023,USA,5121.96,0.398,2.9,2.39,43.01,440.08,74.91,433.18,Low
1999,Germany,3983.28,1.257,2.27,1.83,43.31,662.53,40.28,357.35,Medium
2003,China,3678.27,0.881,2.95,4.12,42.18,497.3,88.39,412.03,High
2011,Pakistan,4076.57,1.278,4.44,0.74,42.45,697.95,38.75,439.79,Medium
2020,Canada,3667.09,0.547,6.31,0.95,22.04,314.45,59.99,408.95,Medium
2015,Russia,5339.92,1.173,4.21,3.08,14.14,1198.04,47.2,369.16,Medium
2013,USA,6143.56,1.024,2.15,1.93,58.05,1187.9,71.46,416.9,High
2015,Brazil,6190.84,1.461,1.91,0.74,30.55,485.3,52.88,384.54,High
1981,Canada,3673.5,1.048,1.93,0.54,36.28,162.56,42.49,392.11,Low
1994,Russia,4103.4,1.277,3.36,2.37,33.61,789.73,52.66,428.01,Medium
2013,China,4170.21,0.499,3.35,3.69,31.96,910.06,25.79,425.28,High
2015,China,6528.67,1.004,3.43,0.27,55.21,125.13,81.35,402.72,High
1985,UK,2998.71,0.765,3.18,3.71,25.0,338.73,56.04,444.42,High
2018,India,4995.56,0.894,2.22,3.07,17.71,1238.74,61.1,450.51,Low
2021,Brazil,3687.69,0.973,2.57,1.65,13.78,1216.85,86.3,400.4,Low
1991,India,4712.75,0.767,3.07,0.15,56.16,267.26,40.7,370.0,Low
1982,USA,6040.77,1.185,4.74,4.85,41.35,34.56,24.89,408.76,High
2024,UK,4515.31,1.27,2.48,1.88,14.86,38.73,36.84,454.53,Medium
1997,China,3869.99,0.709,2.99,4.67,37.68,1377.08,37.81,426.61,High
2019,China,6121.46,1.071,5.23,2.62,33.29,1015.84,49.46,411.62,High
2000,Canada,5194.87,0.439,3.85,2.84,58.17,204.73,88.58,418.96,Medium
1994,Australia,5723.43,1.287,2.83,1.65,36.62,4.71,88.94,419.27,Medium
2012,Germany,5397.0,1.023,1.85,2.03,58.19,911.85,63.06,372.46,Low
2014,China,3177.83,0.971,4.73,3.3,45.78,1242.33,70.72,411.16,Medium
2005,Pakistan,6957.74,1.492,3.52,2.34,45.19,101.6,77.58,422.15,High
1987,Germany,4701.63,1.093,3.55,1.98,24.17,1099.33,42.51,427.18,Low
2015,Canada,6263.68,1.827,4.18,0.14,15.44,463.86,84.78,405.84,High
2009,Pakistan,4474.82,0.673,3.36,1.84,38.64,408.98,42.61,418.73,Low
2002,Germany,5848.6,0.704,2.71,0.95,32.98,85.61,48.0,435.74,Low
2021,India,6516.22,1.248,3.75,4.65,57.6,470.93,31.42,365.94,High
2023,Germany,6323.66,0.922,1.89,1.28,19.94,1372.82,81.45,389.13,High
1993,UK,5158.08,1.341,2.11,0.31,19.23,1352.76,65.09,388.23,Medium
1993,China,4490.72,0.7,3.69,0.83,18.75,639.72,76.39,387.71,Low
1981,UK,2887.49,1.36,5.33,0.64,18.33,1037.49,27.61,430.22,Medium
2016,Australia,3143.31,0.981,4.3,0.89,25.64,1335.0,43.71,425.67,Medium
1984,India,6674.64,1.009,2.43,1.21,36.95,1080.96,28.63,416.6,High
2017,USA,3764.34,0.626,4.55,4.77,53.24,816.29,83.09,410.39,High
2024,Canada,6206.33,1.35,3.96,3.83,57.45,628.89,61.24,387.09,High
2020,China,6371.55,1.138,4.02,1.13,52.2,472.54,71.36,388.48,High
1993,USA,5682.99,1.177,4.86,3.39,21.8,289.85,86.87,417.93,Medium
2018,USA,5586.84,0.585,2.83,3.23,33.47,1331.97,58.72,401.56,Low
2004,Canada,3251.74,0.936,2.79,1.64,16.74,604.4,38.56,419.59,Low
1999,USA,2975.91,0.986,3.81,1.85,43.16,1377.85,55.61,458.78,Medium
1981,Russia,4011.93,0.606,3.71,4.51,11.21,1091.26,84.01,437.79,High
2018,UK,7479.23,1.212,3.65,2.4,28.28,1158.66,35.66,445.88,High
1985,Brazil,7062.15,1.28,3.3,4.71,42.04,1268.59,21.17,437.29,High
1996,Brazil,5055.78,0.565,4.44,0.91,47.67,1255.02,64.5,374.13,Medium
2004,Australia,6941.56,0.991,2.29,0.19,57.67,1290.29,58.79,393.85,High
2007,China,3597.55,1.262,4.6,2.46,47.82,1044.28,75.16,403.07,Medium
1981,Australia,4445.86,1.519,4.19,2.95,25.34,1214.08,86.06,404.93,Medium
2014,China,7380.87,1.247,1.66,2.6,41.99,1054.34,36.26,456.07,High
2016,Brazil,8153.27,0.699,2.76,3.25,47.1,242.0,28.79,420.21,High
1984,Pakistan,6157.43,0.724,1.92,1.77,48.58,1077.7,44.97,411.03,High
1980,Australia,2615.86,1.083,2.88,0.67,15.01,1274.64,41.13,397.68,Low
2019,UK,7024.31,1.213,3.67,1.4,48.37,12.11,88.87,371.71,High
1991,UK,4598.27,0.999,2.53,0.36,16.07,195.43,36.44,416.22,Low
2015,Russia,6083.86,0.861,3.37,0.35,42.24,1031.42,21.6,456.53,High
2024,Brazil,5148.67,1.241,2.07,1.88,47.82,228.53,71.93,426.42,Medium
2002,Australia,6509.82,1.318,4.94,4.49,54.34,88.02,67.09,405.21,High
2010,UK,5070.07,0.907,4.02,2.47,11.52,124.55,44.49,422.62,Medium
1990,Brazil,9093.39,1.0,2.57,0.85,54.28,900.97,27.62,409.71,High
1989,UK,6447.71,1.199,3.96,1.81,34.52,836.65,39.64,359.72,High
1982,China,3112.99,0.885,3.84,4.89,52.72,1180.84,56.14,391.36,High
1993,Canada,2482.4,1.272,1.13,0.16,32.37,435.24,56.59,404.0,Medium
1995,India,2501.14,0.865,3.16,3.01,20.58,1045.08,71.44,458.44,Low
1989,Pakistan,5892.44,1.299,3.74,3.05,34.35,286.09,60.83,381.88,Medium
2008,Brazil,6443.56,0.795,3.09,4.41,44.84,660.71,74.29,376.58,High
1989,Russia,1081.78,1.703,5.14,2.08,56.63,809.44,68.56,380.75,Medium
1991,Australia,6831.55,0.984,4.29,2.11,38.31,188.26,87.57,384.68,High
2009,Russia,5525.65,1.193,2.61,4.85,38.43,1136.3,51.07,443.13,High
2020,Pakistan,7425.9,1.388,1.27,0.12,22.02,1385.74,42.87,425.9,High
1980,Pakistan,3547.95,0.978,3.84,3.04,48.05,1264.97,30.6,408.08,Medium
1984,Pakistan,5435.99,1.104,1.01,3.51,21.82,1003.89,36.9,378.57,High
1999,Pakistan,5424.57,1.038,3.51,0.46,36.13,184.81,21.11,420.41,Low
1987,UK,3839.48,1.647,3.15,3.57,19.91,1281.96,63.18,371.53,High
2022,Germany,3096.45,1.514,1.84,3.3,36.07,56.48,28.6,434.06,Medium
1991,Australia,6397.03,0.802,1.35,0.08,41.37,618.23,51.64,418.33,High
1980,Australia,5343.69,0.701,2.51,4.25,49.66,298.07,80.51,390.45,High
1999,India,5590.91,1.173,2.26,3.18,49.28,1345.44,58.33,424.12,Low
2007,Canada,7044.1,1.049,3.63,4.63,38.14,708.19,63.11,435.68,High
2022,China,4940.43,1.494,1.71,3.13,43.96,388.87,32.34,437.9,Medium
2016,India,5472.32,1.134,5.12,2.12,56.94,141.39,27.53,399.99,Medium
2016,China,5528.63,1.015,1.07,3.08,43.26,544.57,33.06,366.39,Low
1991,Germany,5568.52,0.728,4.06,4.32,24.82,913.06,51.57,393.44,High
2016,Brazil,2886.83,0.865,3.83,2.11,54.27,1050.83,23.31,399.61,Medium
2023,Pakistan,4970.12,0.801,4.33,2.11,40.25,1264.71,55.64,422.08,Medium
2007,Germany,6737.6,0.898,0.22,0.52,11.58,1345.15,83.91,417.93,High
1994,Germany,4807.99,0.899,2.61,2.82,59.85,226.63,36.86,395.43,Low
1985,Germany,4291.0,0.894,2.43,2.22,19.81,285.91,61.79,397.71,Low
2023,Germany,6452.78,1.014,3.28,1.89,22.58,1241.05,23.87,422.96,High
1999,Germany,5020.53,1.178,3.81,0.2,49.09,857.41,66.77,400.13,Medium
1993,Russia,4055.55,1.302,3.06,3.02,46.47,500.19,60.18,412.37,Medium
1981,China,3707.92,1.241,2.81,0.28,29.86,388.3,85.79,406.08,Medium
1988,Russia,4919.22,0.578,3.71,0.44,45.43,274.28,42.58,411.22,Low
2016,Germany,4007.65,0.636,4.39,0.26,45.28,945.76,79.6,396.8,Medium
1999,Pakistan,6352.22,0.898,2.36,1.42,54.35,333.93,43.41,386.06,High
2005,USA,3858.67,0.669,1.87,2.58,58.56,1039.57,70.75,415.46,Low
2008,Australia,5417.43,1.134,5.56,2.98,15.88,554.72,40.83,412.17,Medium
1980,China,5629.78,0.995,4.9,1.73,22.28,1346.3,87.54,442.59,Medium
2014,Pakistan,5949.38,1.04,3.22,3.48,21.31,652.49,81.0,394.59,Low
1985,Australia,7354.56,1.389,4.72,3.91,50.86,1318.49,57.49,355.49,High
2016,Germany,2971.14,0.9,5.61,3.01,46.36,435.35,84.26,404.86,Medium
1984,Russia,5911.85,0.667,1.62,1.71,16.36,314.86,46.19,429.85,Low
2012,Russia,5934.47,0.943,2.16,0.23,21.62,1203.84,65.2,411.79,Low
1993,USA,3370.42,0.366,3.74,4.68,36.45,333.22,77.42,388.29,High
1991,Canada,5390.92,0.956,3.55,4.89,34.38,253.16,34.41,395.18,High
2021,Germany,4370.66,0.259,3.28,0.49,59.89,519.53,71.79,363.6,Low
1999,Pakistan,7102.95,1.013,2.8,2.09,41.56,448.52,25.18,385.55,High
2003,India,4147.25,1.338,1.43,1.1,17.11,757.53,73.15,427.6,Medium
2022,UK,4677.17,1.165,3.88,2.73,53.11,522.88,82.67,370.24,Medium
2013,India,4429.44,1.097,2.24,2.44,18.81,901.48,26.05,464.08,Low
2004,Russia,3742.77,1.155,4.08,1.07,26.04,1237.43,48.81,401.3,Medium
2008,India,2675.88,0.782,3.08,4.54,29.91,473.29,23.79,420.58,High
2018,China,3750.87,0.386,3.25,4.47,55.81,162.73,79.73,403.77,High
2010,Russia,5215.8,0.635,3.76,3.48,13.88,222.29,60.8,390.44,Low
2022,Germany,5423.58,1.185,2.82,3.6,31.87,14.4,87.63,426.17,High
2002,Germany,6218.56,1.297,2.28,1.74,18.92,145.99,30.09,415.76,High
2023,China,6574.75,1.4,3.37,1.94,43.97,1092.24,88.6,377.72,High
2017,UK,5600.97,0.613,4.74,2.44,30.56,1236.82,42.17,412.86,Medium
1999,Australia,6194.97,1.363,2.61,3.2,17.51,866.27,68.92,444.25,High
2002,China,5786.08,0.619,2.17,2.17,54.45,958.59,62.79,425.63,Low
2024,Australia,3348.1,1.128,3.11,1.36,26.55,769.73,51.87,384.66,Low
1995,Brazil,5572.07,1.175,2.27,4.34,50.5,1264.16,54.76,362.66,High
2021,Russia,5017.81,0.798,3.36,1.4,14.23,650.85,43.85,429.53,Low
1987,USA,4152.75,1.243,3.06,3.12,42.63,455.93,53.55,446.44,Medium
2000,UK,5018.29,0.344,1.47,3.55,24.51,104.5,36.31,439.33,High
1980,Canada,5535.9,0.702,4.12,3.12,45.97,957.13,26.1,399.33,Medium
1987,UK,4697.23,0.766,2.13,3.76,44.48,1211.28,78.5,399.27,High
2008,Australia,6487.69,1.198,1.87,1.01,58.47,705.46,42.76,384.84,High
2011,Brazil,5511.78,1.189,4.39,1.96,22.82,1330.2,70.25,407.75,Medium
2017,Australia,6311.28,1.066,1.37,2.79,25.57,584.76,77.37,424.46,High
1984,Russia,6884.73,1.063,1.84,4.35,23.78,555.55,30.58,404.66,High
2001,Australia,4406.34,1.383,3.0,4.84,16.69,94.12,87.78,412.35,High
2013,Pakistan,4332.93,0.89,3.18,4.3,55.38,647.41,72.62,387.83,High
1980,Germany,6735.15,0.867,5.1,0.62,40.71,439.57,25.29,429.65,High
2005,Canada,3845.66,0.954,2.84,0.14,36.52,573.26,35.94,458.22,Low
2022,Brazil,4852.55,0.704,2.65,1.41,58.55,100.65,75.73,386.28,Low
1989,Pakistan,4268.92,1.186,4.64,2.04,37.19,669.57,42.73,418.11,Medium
2009,Australia,3513.89,0.631,1.6,0.62,47.4,1259.34,26.91,397.14,Low
1997,Canada,5746.9,0.947,2.05,3.4,57.41,420.56,36.24,360.87,Low
1996,UK,4598.68,1.273,4.09,4.5,39.54,982.46,71.46,380.93,High
2005,India,3608.82,0.923,2.27,2.0,16.15,730.16,48.01,446.93,Low
1987,Pakistan,6387.78,0.686,3.07,4.95,52.23,12.07,86.66,406.61,High
2019,India,3013.29,1.101,4.29,1.46,15.08,239.67,50.1,359.73,Medium
1991,China,4778.37,1.218,3.2,2.02,57.33,83.78,80.24,416.76,Medium
2006,India,6335.49,1.141,5.29,0.28,32.33,79.06,57.77,384.21,High
1987,Pakistan,6372.56,1.155,3.34,3.56,44.43,118.65,40.97,420.21,High
2004,USA,5641.29,0.789,2.1,0.07,52.39,164.94,25.4,422.29,Low
1983,Russia,3679.88,1.658,4.26,2.15,18.28,224.2,60.0,468.91,Medium
2012,China,5240.82,1.31,1.98,1.13,26.58,702.05,23.63,423.5,Medium
1980,India,5533.45,0.798,5.41,3.15,43.47,980.03,55.43,431.9,Medium
1998,Australia,4337.23,1.067,2.69,1.07,50.49,335.92,24.46,394.98,Low
2010,Pakistan,5564.89,1.066,5.06,2.8,31.62,576.62,56.29,426.56,Medium
1995,Brazil,2783.38,1.049,3.17,0.41,52.06,1206.99,33.47,392.55,Low
1993,Australia,2369.89,1.13,2.19,0.39,59.83,739.93,44.48,453.93,Low
1984,UK,4036.69,1.0,4.2,4.43,47.16,1327.66,37.77,340.56,High
2020,Australia,6039.66,1.178,5.44,3.92,32.0,6.48,65.25,426.17,High
2005,Pakistan,6290.34,1.262,4.42,4.84,33.17,203.92,71.04,426.04,High
2007,USA,3081.2,1.121,2.4,1.14,46.26,896.48,63.09,432.97,Low
1981,UK,7201.82,0.815,3.98,1.46,57.44,545.66,46.66,405.41,High
1985,Russia,5134.98,1.352,0.13,4.99,29.53,211.3,69.92,438.59,High
1988,India,2677.2,0.985,4.73,3.4,24.73,521.04,57.02,414.7,Medium
2012,China,5455.36,1.062,3.61,1.51,13.53,306.1,65.19,399.97,Low
2020,UK,6908.37,0.876,1.44,1.29,24.4,129.47,38.45,397.02,High
2004,India,4272.87,1.389,3.48,4.21,21.38,97.64,41.73,433.64,High
1992,Brazil,6465.63,0.827,3.57,2.0,37.25,28.67,71.79,376.72,High
1988,UK,7163.55,0.967,5.14,0.2,44.72,1179.86,42.93,409.62,High
1992,UK,5060.77,1.754,3.76,1.81,40.97,1072.51,41.4,408.01,Medium
2010,China,3882.2,0.46,4.05,0.89,13.39,1296.26,23.85,408.0,Medium
2020,India,6755.52,0.743,4.28,0.47,44.82,789.73,77.15,400.88,High
1990,Russia,6750.2,1.326,3.71,4.43,48.93,1378.7,58.6,387.2,High
1983,China,3112.43,1.035,3.84,3.47,34.3,360.12,88.32,399.94,Medium
2013,India,4847.38,1.174,3.38,3.35,45.8,265.1,83.18,377.37,Low
2017,Russia,6081.23,0.605,4.72,3.0,47.24,83.33,26.97,423.62,High
1983,Brazil,6164.25,0.943,0.83,3.6,25.37,283.86,49.13,420.8,High
2017,USA,4566.21,0.964,3.35,4.74,10.72,227.8,65.56,400.48,High
1998,China,3562.06,1.004,5.42,0.34,23.61,462.66,47.57,408.56,Medium
1985,India,7356.02,1.026,3.23,0.18,13.14,460.32,79.93,436.52,High
2013,Russia,5134.06,0.364,2.15,2.81,22.93,646.86,62.04,410.25,Low
1997,Russia,4732.04,0.959,2.52,2.03,25.47,599.27,39.73,388.57,Low
1992,UK,4117.65,1.449,4.62,0.41,23.91,1206.81,71.92,445.27,Medium
2020,UK,4697.73,0.918,4.11,4.78,58.39,1002.42,44.22,399.06,High
2002,India,2638.04,0.723,4.84,3.83,14.59,868.37,59.2,392.69,High
1998,Australia,6498.49,0.822,5.4,2.43,38.95,1260.5,63.76,397.45,High
2024,Brazil,4593.69,1.358,3.73,4.78,39.4,869.1,32.04,397.77,High
1990,Pakistan,1848.93,0.243,3.76,3.85,25.08,699.3,63.51,429.4,High
1980,Pakistan,3522.74,1.191,1.54,0.38,50.02,941.59,60.87,390.95,Low
2003,Russia,6436.35,1.113,3.21,3.32,18.75,1084.8,27.58,418.93,High
1986,Russia,4786.62,0.759,2.41,2.36,19.45,1109.02,29.95,405.57,Low
2004,USA,3816.82,1.906,1.27,2.96,36.1,1374.1,30.03,441.92,Medium
2000,Germany,5198.59,1.285,3.68,1.2,40.92,455.19,48.63,398.86,Medium
1994,Russia,4551.95,1.056,2.09,2.33,16.55,976.01,31.44,428.08,Low
1980,Australia,5165.72,1.352,3.8,1.64,33.18,402.56,26.61,463.37,Medium
1991,Brazil,5479.37,1.182,2.35,2.22,28.82,734.49,49.2,428.34,Low
1986,Pakistan,3775.47,1.116,4.63,0.52,50.49,662.4,37.25,367.39,Medium
1994,Brazil,4135.9,1.06,3.55,0.64,22.01,969.35,86.24,408.87,Low
2000,China,3898.38,0.842,4.2,2.29,20.53,436.24,22.27,405.02,Medium
1998,Russia,3942.6,1.315,3.07,1.21,58.85,118.78,67.3,456.03,Medium
2008,Australia,4058.03,0.968,3.83,1.36,39.68,463.58,67.58,398.98,Medium
2004,India,4564.47,1.348,3.23,3.23,34.86,963.72,46.68,430.16,Medium
2012,UK,4088.26,1.341,3.39,0.07,20.56,272.51,72.06,363.38,Medium
2011,Russia,5239.83,1.289,3.88,2.3,51.67,559.95,30.23,398.73,Medium
2014,Russia,4529.54,0.875,2.0,2.86,14.7,1103.86,26.8,410.59,Low
2023,Australia,3940.14,0.745,4.1,1.73,15.7,1269.51,66.63,413.98,Medium
2017,Germany,2111.71,0.989,2.26,2.65,25.36,861.38,29.08,392.64,Low
2005,Brazil,3645.32,1.001,1.52,4.14,34.34,1319.07,42.13,435.39,High
1990,Australia,4453.21,0.885,5.12,2.21,57.45,251.98,67.0,432.24,Medium
2014,Canada,6436.39,1.307,2.54,2.43,57.87,1364.33,25.83,358.19,High
1987,Canada,4895.06,1.276,6.17,4.29,16.81,1026.86,67.76,364.76,High
1993,Canada,2730.01,1.229,4.05,2.29,31.08,200.49,67.63,405.51,Medium
1989,Germany,5146.96,1.431,4.86,4.72,26.18,1161.44,40.73,414.27,High
1981,Australia,4321.21,1.071,2.59,4.5,16.95,497.64,73.34,406.14,High
1988,USA,5856.46,0.678,1.83,0.19,40.51,684.16,26.19,465.97,Low
1982,Russia,2806.34,1.419,2.0,0.91,42.49,1221.37,77.0,417.85,Medium
