ID,Age,Income,LoanAmount,CreditScore,EmploymentYears,Dependents,Married,OwnHouse,DefaultedBefore,Date,Approved
14816,25,64055,13008,741,9,1,0,1,1,2055-07-25,1
14817,18,40885,7636,350,31,0,0,0,0,2055-07-26,0
14818,62,38096,48342,721,22,1,1,0,0,2055-07-27,0
14819,53,45526,34693,654,19,1,1,0,0,2055-07-28,0
14820,24,43094,20292,617,0,4,1,1,1,2055-07-29,1
14821,63,23796,32645,744,35,2,1,0,0,2055-07-30,0
14822,22,137061,35237,350,30,1,1,0,0,2055-07-31,0
14823,41,144237,48637,555,6,0,0,0,1,2055-08-01,0
14824,45,106344,46802,536,26,2,1,0,0,2055-08-02,0
14825,60,115906,26576,767,1,3,1,1,0,2055-08-03,1
14826,34,74571,21752,508,27,3,1,0,1,2055-08-04,0
14827,54,103619,7038,386,33,1,1,1,1,2055-08-05,0
14828,37,95864,2048,847,21,1,0,1,0,2055-08-06,1
14829,20,24110,38620,751,9,4,1,0,1,2055-08-07,0
14830,54,105292,28461,360,22,4,1,1,0,2055-08-08,0
14831,43,143513,32989,300,18,1,0,1,0,2055-08-09,0
14832,32,68445,46604,382,39,4,0,0,1,2055-08-10,0
14833,68,62843,44481,795,9,1,1,1,1,2055-08-11,0
14834,65,50897,37308,809,22,2,1,1,0,2055-08-12,0
14835,25,123885,8957,656,27,1,1,1,1,2055-08-13,1
14836,30,30508,6840,572,13,2,1,0,1,2055-08-14,0
14837,65,78472,47538,811,12,1,1,1,1,2055-08-15,0
14838,20,50366,19947,535,25,4,1,0,0,2055-08-16,0
14839,18,71538,35873,565,24,1,1,1,0,2055-08-17,0
14840,26,28583,3219,591,12,1,1,1,0,2055-08-18,0
14841,48,83628,31992,498,28,0,0,1,0,2055-08-19,0
14842,58,20168,22940,500,1,2,1,0,1,2055-08-20,0
14843,43,113200,12538,745,34,4,1,0,1,2055-08-21,1
14844,34,85055,22333,464,39,4,0,1,0,2055-08-22,0
14845,51,144932,6688,420,27,2,1,1,0,2055-08-23,0
14846,26,73117,37174,585,8,3,1,1,0,2055-08-24,0
14847,68,105128,27923,410,37,4,1,0,1,2055-08-25,0
14848,30,82058,48250,668,27,0,1,0,0,2055-08-26,0
14849,22,127681,40832,833,35,2,1,0,1,2055-08-27,0
14850,58,44556,32740,469,2,0,1,0,0,2055-08-28,0
14851,30,131360,22561,443,4,2,0,1,1,2055-08-29,0
14852,18,71879,10483,739,35,4,0,1,0,2055-08-30,1
14853,42,149486,17415,366,4,4,1,0,0,2055-08-31,0
14854,64,105429,3478,729,25,2,0,0,1,2055-09-01,1
14855,21,43933,2961,572,13,2,0,0,0,2055-09-02,0
14856,53,36159,48067,374,24,4,0,1,0,2055-09-03,0
14857,69,40861,39488,775,2,1,1,1,1,2055-09-04,0
14858,27,147457,23578,524,18,4,1,1,1,2055-09-05,0
14859,45,113538,22288,514,28,4,1,0,0,2055-09-06,0
14860,23,33556,45005,572,19,0,1,0,0,2055-09-07,0
14861,44,90256,45493,405,10,3,0,1,0,2055-09-08,0
14862,29,103633,5990,716,11,0,0,1,1,2055-09-09,1
14863,69,141307,46858,407,35,4,0,0,0,2055-09-10,0
14864,65,55280,7740,502,8,1,1,0,0,2055-09-11,0
14865,20,47837,31148,688,28,4,0,0,0,2055-09-12,0
14866,63,73741,36879,788,9,3,1,0,1,2055-09-13,0
14867,50,99370,31261,822,2,0,0,0,1,2055-09-14,0
14868,27,59446,4025,712,17,2,0,1,1,2055-09-15,1
14869,48,120982,39052,425,0,4,0,0,0,2055-09-16,0
14870,32,53049,30611,356,31,3,0,1,1,2055-09-17,0
14871,24,57694,49924,326,13,0,1,0,1,2055-09-18,0
14872,53,102349,23865,497,35,4,1,1,0,2055-09-19,0
14873,31,30820,11100,502,3,4,1,0,1,2055-09-20,0
14874,65,82297,11763,849,3,0,1,0,0,2055-09-21,1
14875,31,36005,18812,820,0,1,1,1,0,2055-09-22,0
14876,20,114460,26629,765,34,3,0,0,1,2055-09-23,1
14877,66,106578,21776,592,14,1,0,1,0,2055-09-24,0
14878,63,107082,40758,353,34,1,1,0,1,2055-09-25,0
14879,67,68609,41674,710,3,1,1,0,1,2055-09-26,0
14880,20,142793,2947,410,14,1,1,1,0,2055-09-27,0
14881,39,72364,17989,507,22,2,1,1,0,2055-09-28,0
14882,36,82974,7575,422,32,3,0,0,0,2055-09-29,0
14883,52,90168,43296,849,39,1,1,1,0,2055-09-30,0
14884,29,129441,36704,608,39,2,0,0,1,2055-10-01,0
14885,22,128813,36546,772,6,3,0,0,1,2055-10-02,0
14886,27,64944,23031,742,3,4,1,1,1,2055-10-03,1
14887,58,80776,13171,731,4,1,1,0,0,2055-10-04,1
14888,50,104583,13779,300,9,0,1,0,0,2055-10-05,0
14889,30,61895,40843,437,11,3,0,0,1,2055-10-06,0
14890,52,30534,35702,305,32,0,1,1,0,2055-10-07,0
14891,68,87224,20090,788,33,3,1,1,1,2055-10-08,1
14892,49,140282,1729,451,33,3,1,0,0,2055-10-09,0
14893,28,107855,11186,460,24,0,1,1,1,2055-10-10,0
14894,65,127378,42949,826,18,3,1,0,1,2055-10-11,0
14895,55,129015,14211,337,3,4,1,0,1,2055-10-12,0
14896,41,20816,15191,783,23,1,1,1,0,2055-10-13,0
14897,52,146112,7570,691,31,3,1,0,1,2055-10-14,1
14898,36,122170,40764,669,31,2,0,0,0,2055-10-15,0
14899,23,140876,40807,821,39,3,1,0,0,2055-10-16,0
14900,57,145726,27924,325,15,2,0,1,1,2055-10-17,0
14901,62,118110,5134,499,21,3,1,0,0,2055-10-18,0
14902,61,65935,16326,765,14,3,1,1,1,2055-10-19,1
14903,59,53445,9782,538,19,4,0,0,0,2055-10-20,0
14904,52,30446,22464,815,27,1,1,0,0,2055-10-21,0
14905,21,115339,4223,307,9,4,0,0,0,2055-10-22,0
14906,50,33815,47074,301,15,4,1,0,1,2055-10-23,0
14907,30,113095,34708,434,16,1,0,1,1,2055-10-24,0
14908,53,137177,20747,797,35,1,1,0,1,2055-10-25,1
14909,60,125536,30547,417,28,4,0,1,0,2055-10-26,0
14910,36,96042,24043,399,16,1,0,0,0,2055-10-27,0
14911,60,22446,22184,556,29,0,1,1,1,2055-10-28,0
14912,29,103808,22386,539,29,0,1,1,0,2055-10-29,0
14913,28,21720,46652,781,19,1,0,1,0,2055-10-30,0
14914,23,46479,39552,616,39,2,0,0,1,2055-10-31,0
14915,29,85759,45793,369,27,0,1,1,1,2055-11-01,0
14916,44,98488,15897,748,9,0,1,0,1,2055-11-02,1
14917,58,119238,37721,586,26,1,0,1,0,2055-11-03,0
14918,42,78656,3611,467,1,1,1,0,1,2055-11-04,0
14919,59,54076,31981,351,3,3,1,1,1,2055-11-05,0
14920,20,66265,49429,617,35,0,1,1,1,2055-11-06,0
14921,20,126721,25277,552,31,0,0,1,1,2055-11-07,0
14922,37,52967,35574,352,37,0,0,0,1,2055-11-08,0
14923,45,147479,2653,507,1,1,1,0,0,2055-11-09,0
14924,40,73258,35236,518,13,2,0,0,0,2055-11-10,0
14925,65,133548,2404,356,37,3,0,0,0,2055-11-11,0
14926,20,145764,38150,770,26,4,0,0,1,2055-11-12,0
14927,59,68625,49098,763,13,0,1,1,0,2055-11-13,0
14928,41,25074,3593,303,0,4,1,1,1,2055-11-14,0
14929,60,145204,46087,700,22,2,0,0,1,2055-11-15,0
14930,57,68130,12844,586,37,4,1,0,0,2055-11-16,0
14931,23,40377,37801,594,13,1,1,0,1,2055-11-17,0
14932,37,108992,24930,778,8,4,0,0,0,2055-11-18,1
14933,28,73085,31091,641,21,1,0,1,0,2055-11-19,0
14934,49,59701,49998,363,33,4,0,0,1,2055-11-20,0
14935,44,70749,32725,480,13,1,0,0,0,2055-11-21,0
14936,38,134692,43899,542,12,0,1,1,0,2055-11-22,0
14937,61,134578,26869,506,34,0,1,1,0,2055-11-23,0
14938,65,149544,30514,483,16,1,0,1,0,2055-11-24,0
14939,67,85081,39366,437,32,4,1,1,0,2055-11-25,0
14940,30,28471,39112,345,25,0,0,0,0,2055-11-26,0
14941,39,60358,14913,365,17,2,0,1,1,2055-11-27,0
14942,52,23019,37278,309,27,4,1,0,0,2055-11-28,0
14943,64,123661,34826,404,16,1,1,1,0,2055-11-29,0
14944,39,38748,11266,832,2,2,0,1,0,2055-11-30,0
14945,45,134814,22124,391,21,1,0,1,0,2055-12-01,0
14946,38,48975,12338,725,15,1,1,0,1,2055-12-02,1
14947,63,96524,18330,711,27,3,0,0,0,2055-12-03,1
14948,35,57594,9934,515,12,3,1,1,1,2055-12-04,0
14949,48,23249,32323,784,3,4,0,1,0,2055-12-05,0
14950,63,138589,49527,545,21,4,1,0,1,2055-12-06,0
14951,54,81929,35163,554,2,0,1,1,1,2055-12-07,0
14952,38,49108,43327,674,15,3,0,0,1,2055-12-08,0
14953,31,115892,36011,505,30,0,1,1,0,2055-12-09,0
14954,42,41541,44217,350,5,4,0,0,1,2055-12-10,0
14955,44,64661,35422,326,21,2,1,1,1,2055-12-11,0
14956,57,110594,13200,623,23,2,0,0,1,2055-12-12,1
14957,40,39423,36343,410,8,4,0,1,1,2055-12-13,0
14958,48,106330,36444,752,11,1,1,1,0,2055-12-14,0
14959,64,78851,14609,824,38,3,0,1,0,2055-12-15,1
14960,46,47744,19835,542,13,3,1,1,0,2055-12-16,0
14961,64,143818,29861,714,35,1,0,1,1,2055-12-17,1
14962,47,85552,22875,793,23,1,1,1,0,2055-12-18,1
14963,68,142692,46723,359,15,0,1,0,1,2055-12-19,0
14964,43,27083,7587,701,29,1,1,0,1,2055-12-20,0
14965,37,57843,18704,403,25,3,1,0,0,2055-12-21,0
14966,55,49118,2408,540,21,0,1,1,0,2055-12-22,0
14967,36,65334,32247,317,12,1,0,0,1,2055-12-23,0
14968,44,138630,22813,711,25,4,1,1,1,2055-12-24,1
14969,42,131043,41927,583,13,2,1,0,0,2055-12-25,0
14970,57,96441,16388,745,33,1,1,0,0,2055-12-26,1
14971,55,65661,24239,317,39,1,1,1,0,2055-12-27,0
14972,69,85455,2217,702,28,1,0,1,0,2055-12-28,1
14973,40,115918,39637,553,25,0,1,1,0,2055-12-29,0
14974,46,146765,7807,813,32,2,1,0,1,2055-12-30,1
14975,32,75324,25638,392,17,1,0,1,0,2055-12-31,0
14976,20,138305,29471,576,15,1,0,1,0,2056-01-01,0
14977,27,78377,28117,464,18,1,0,0,1,2056-01-02,0
14978,32,62771,36085,698,14,1,0,1,0,2056-01-03,0
14979,33,112119,37788,840,19,3,1,1,0,2056-01-04,0
14980,34,84289,49765,766,19,3,0,0,0,2056-01-05,0
14981,36,65156,43155,338,4,2,0,0,1,2056-01-06,0
14982,28,133292,19090,466,16,1,0,1,0,2056-01-07,0
14983,65,26230,18536,811,18,0,1,0,1,2056-01-08,0
14984,22,52649,22365,580,21,3,1,0,0,2056-01-09,0
14985,22,61429,9831,636,24,0,0,0,0,2056-01-10,1
14986,31,119628,40562,708,23,3,1,0,0,2056-01-11,0
14987,67,84127,11387,729,34,3,0,1,0,2056-01-12,1
14988,43,56045,42720,719,32,4,1,0,1,2056-01-13,0
14989,25,87160,24630,673,37,0,0,1,1,2056-01-14,1
14990,22,92785,35011,560,27,0,1,1,1,2056-01-15,0
14991,24,45811,48508,595,35,3,1,1,1,2056-01-16,0
14992,33,102038,24368,754,30,2,1,1,1,2056-01-17,1
14993,31,79227,19835,791,13,3,1,0,1,2056-01-18,1
14994,54,60071,45649,759,38,2,1,0,0,2056-01-19,0
14995,58,60708,9126,378,39,4,1,0,0,2056-01-20,0
14996,21,95732,10806,730,7,1,1,1,0,2056-01-21,1
14997,53,78131,48851,773,2,4,1,1,1,2056-01-22,0
14998,65,124824,8273,734,37,2,0,0,1,2056-01-23,1
14999,34,88011,10312,471,8,3,1,0,1,2056-01-24,0
15000,64,55535,40389,608,34,0,0,0,1,2056-01-25,0
15001,53,83801,21303,321,10,1,0,1,1,2056-01-26,0
15002,23,62387,46928,612,6,3,1,1,1,2056-01-27,0
15003,33,69394,3608,733,19,1,0,0,0,2056-01-28,1
15004,46,57848,18829,600,36,1,1,1,1,2056-01-29,0
15005,53,64998,4799,514,18,2,1,1,0,2056-01-30,0
15006,55,74616,45632,707,11,4,1,0,0,2056-01-31,0
15007,54,52355,16770,355,20,1,1,1,0,2056-02-01,0
15008,65,106642,10540,368,11,4,1,0,0,2056-02-02,0
15009,65,48489,45977,698,35,0,0,1,0,2056-02-03,0
15010,27,66503,27068,589,13,2,1,0,0,2056-02-04,0
15011,58,28207,12690,456,20,3,1,0,1,2056-02-05,0
15012,53,57379,24906,400,18,4,0,0,1,2056-02-06,0
15013,46,75561,29997,462,26,1,0,0,1,2056-02-07,0
15014,31,126418,19440,553,20,2,1,1,1,2056-02-08,0
15015,21,26703,20436,580,17,0,1,0,0,2056-02-09,0
15016,61,39166,30786,608,37,2,0,1,1,2056-02-10,0
15017,59,76011,19717,738,13,3,1,1,0,2056-02-11,1
15018,53,26163,14454,367,7,3,0,0,0,2056-02-12,0
15019,67,70975,44423,837,37,3,0,0,0,2056-02-13,0
15020,62,134369,30395,551,4,4,0,1,0,2056-02-14,0
15021,30,90459,49059,401,6,1,0,0,1,2056-02-15,0
15022,63,60970,10142,431,21,1,0,0,0,2056-02-16,0
15023,35,107059,19209,810,34,3,0,0,1,2056-02-17,1
15024,50,94006,46039,809,3,3,1,1,1,2056-02-18,0
15025,38,129438,47140,673,27,1,1,1,1,2056-02-19,0
15026,33,32620,36155,548,12,4,0,0,1,2056-02-20,0
15027,32,107586,7962,730,11,3,0,0,0,2056-02-21,1
15028,22,25520,16451,827,32,1,1,1,1,2056-02-22,0
15029,23,108841,35022,545,36,3,1,1,0,2056-02-23,0
15030,55,80135,37376,352,16,1,0,0,0,2056-02-24,0
15031,20,120389,39026,703,2,2,0,0,1,2056-02-25,0
15032,65,74221,1881,609,26,4,0,1,1,2056-02-26,1
15033,29,103026,25346,477,5,0,0,1,0,2056-02-27,0
15034,53,93759,45907,826,11,3,1,1,0,2056-02-28,0
15035,50,99863,30333,773,16,1,0,0,0,2056-02-29,0
15036,53,80469,25928,610,39,3,1,1,1,2056-03-01,1
15037,50,45312,11278,668,18,0,0,1,0,2056-03-02,1
15038,48,136536,34864,363,3,1,1,1,0,2056-03-03,0
15039,38,84106,8029,713,37,0,0,1,0,2056-03-04,1
15040,44,80376,5117,766,17,3,1,1,0,2056-03-05,1
15041,44,56376,41990,730,37,3,1,1,1,2056-03-06,0
15042,25,98733,20745,432,6,3,0,1,0,2056-03-07,0
15043,54,65100,20267,523,23,1,1,1,0,2056-03-08,0
15044,49,110027,12706,494,35,3,1,0,1,2056-03-09,0
15045,43,55445,18844,580,23,1,1,0,0,2056-03-10,0
15046,19,85829,31056,744,18,4,1,0,1,2056-03-11,0
15047,29,137884,11210,394,35,2,1,1,1,2056-03-12,0
15048,39,70723,11965,407,18,2,1,1,0,2056-03-13,0
15049,34,116599,5149,796,22,3,1,0,1,2056-03-14,1
15050,24,80392,4653,408,14,0,1,0,1,2056-03-15,0
15051,60,113051,17480,359,20,2,0,1,1,2056-03-16,0
15052,21,141254,10076,821,17,0,0,1,0,2056-03-17,1
15053,54,32454,42489,424,21,3,1,0,1,2056-03-18,0
15054,55,102188,37487,596,23,3,1,1,0,2056-03-19,0
15055,49,68321,45678,312,10,4,1,0,1,2056-03-20,0
15056,28,108993,17262,551,10,1,0,0,0,2056-03-21,0
15057,18,45723,7461,395,28,0,1,0,0,2056-03-22,0
15058,42,138030,14681,709,5,4,1,1,0,2056-03-23,1
15059,59,57945,40986,484,27,2,0,0,0,2056-03-24,0
15060,69,86415,7430,451,21,0,0,1,1,2056-03-25,0
15061,41,69210,38513,699,1,0,1,0,1,2056-03-26,0
15062,60,63457,37435,712,32,4,0,0,0,2056-03-27,0
15063,34,122195,29914,311,22,0,1,0,0,2056-03-28,0
15064,25,69368,39178,688,25,2,1,0,0,2056-03-29,0
15065,62,58468,34180,407,5,1,0,0,1,2056-03-30,0
15066,44,27649,11461,373,4,0,0,1,0,2056-03-31,0
15067,69,147219,27464,734,16,2,1,1,1,2056-04-01,1
15068,35,140934,10063,684,17,0,1,0,1,2056-04-02,1
15069,44,65572,31448,597,4,4,1,1,1,2056-04-03,0
15070,39,142666,24521,645,28,3,1,0,0,2056-04-04,1
15071,33,128807,44792,525,31,1,1,1,1,2056-04-05,0
15072,19,26384,18889,740,34,0,1,0,1,2056-04-06,0
15073,22,148845,1095,604,8,0,1,1,0,2056-04-07,1
15074,35,41340,17608,637,10,4,0,1,0,2056-04-08,1
15075,20,69885,43532,584,17,3,1,1,1,2056-04-09,0
15076,44,42334,12609,737,30,0,1,0,0,2056-04-10,1
15077,34,123652,14278,462,35,2,1,0,1,2056-04-11,0
15078,33,91107,24835,542,0,1,1,0,1,2056-04-12,0
15079,23,59842,49381,575,29,2,0,0,0,2056-04-13,0
15080,68,30694,35469,564,7,1,1,0,0,2056-04-14,0
15081,24,115193,21203,758,25,1,0,1,0,2056-04-15,1
15082,67,98367,9329,758,37,0,0,1,0,2056-04-16,1
15083,31,118282,12117,791,15,4,0,0,1,2056-04-17,1
15084,55,100736,16075,355,1,4,0,0,1,2056-04-18,0
15085,57,71573,5690,625,31,2,0,1,1,2056-04-19,1
15086,32,138065,22019,815,28,1,1,0,0,2056-04-20,1
15087,64,44949,21164,304,0,4,0,0,0,2056-04-21,0
15088,64,133850,32831,817,3,2,0,1,0,2056-04-22,0
15089,65,59872,33116,497,28,0,1,0,1,2056-04-23,0
15090,50,101884,20065,798,31,0,0,0,0,2056-04-24,1
15091,60,75935,31086,763,28,1,1,1,1,2056-04-25,0
15092,44,36495,46395,814,36,4,1,0,0,2056-04-26,0
15093,46,96268,10729,795,3,1,1,0,1,2056-04-27,1
15094,54,143173,17106,482,4,1,1,0,1,2056-04-28,0
15095,22,120773,12529,440,15,1,1,1,1,2056-04-29,0
15096,46,116404,23609,330,27,2,0,0,1,2056-04-30,0
15097,49,136886,42825,706,18,0,1,0,1,2056-05-01,0
15098,23,41677,22193,485,11,0,0,1,1,2056-05-02,0
15099,19,31460,36173,563,12,1,1,0,1,2056-05-03,0
15100,23,133918,44807,365,35,0,1,0,1,2056-05-04,0
15101,63,109501,33948,350,20,3,1,1,0,2056-05-05,0
15102,60,77511,39402,495,19,4,1,1,1,2056-05-06,0
15103,21,96881,30686,424,36,0,1,1,1,2056-05-07,0
15104,46,52837,15895,721,19,1,1,1,0,2056-05-08,1
15105,42,58724,26735,586,18,0,0,0,1,2056-05-09,0
15106,26,34761,6384,734,29,3,1,0,0,2056-05-10,0
15107,20,95153,1202,428,15,4,0,1,0,2056-05-11,0
15108,43,124378,22985,798,3,2,1,0,1,2056-05-12,1
15109,65,88108,43839,383,10,4,1,0,0,2056-05-13,0
15110,60,119958,44140,327,12,1,1,0,0,2056-05-14,0
15111,44,71411,2120,718,21,3,0,1,0,2056-05-15,1
15112,53,134789,4958,487,18,3,0,0,1,2056-05-16,0
15113,49,107828,33861,499,28,3,0,0,1,2056-05-17,0
15114,18,29923,26615,584,10,4,0,0,0,2056-05-18,0
15115,33,124012,22963,472,8,4,1,0,0,2056-05-19,0
15116,68,54129,1210,586,34,3,1,1,1,2056-05-20,0
15117,65,77676,42058,343,29,4,1,0,1,2056-05-21,0
15118,28,46828,29691,695,20,3,1,0,1,2056-05-22,1
15119,43,50182,25596,848,0,3,0,0,1,2056-05-23,1
15120,57,130820,41116,371,3,1,1,1,1,2056-05-24,0
15121,18,72412,40605,547,26,4,0,1,1,2056-05-25,0
15122,43,103042,41335,423,16,3,0,1,0,2056-05-26,0
15123,45,21957,37111,514,12,2,1,0,1,2056-05-27,0
15124,26,128455,14334,527,39,3,1,0,1,2056-05-28,0
15125,61,115642,1107,413,26,0,0,1,1,2056-05-29,0
15126,39,66009,22315,730,31,0,0,0,0,2056-05-30,1
15127,25,83193,6796,417,9,3,1,0,1,2056-05-31,0
15128,66,77803,19455,845,36,0,1,1,0,2056-06-01,1
15129,59,45793,33572,398,6,0,1,0,1,2056-06-02,0
15130,44,108618,20207,534,10,0,0,0,1,2056-06-03,0
15131,56,74137,43602,440,14,0,0,0,1,2056-06-04,0
15132,36,75931,31236,662,0,0,1,1,0,2056-06-05,0
15133,42,98867,3162,634,16,2,1,0,0,2056-06-06,1
15134,55,135618,23921,393,1,2,0,0,1,2056-06-07,0
15135,38,143190,34719,838,39,0,1,1,0,2056-06-08,0
15136,41,55657,47961,837,28,3,0,1,0,2056-06-09,0
15137,41,42343,3667,839,0,0,1,1,1,2056-06-10,1
15138,36,67783,43568,513,38,4,1,1,1,2056-06-11,0
15139,67,66637,29309,333,4,3,0,1,0,2056-06-12,0
15140,64,59907,30449,373,16,0,1,1,0,2056-06-13,0
15141,19,21758,20027,455,16,4,1,0,0,2056-06-14,0
15142,31,83566,31099,531,29,3,0,1,1,2056-06-15,0
15143,49,51913,49946,331,38,4,0,1,0,2056-06-16,0
15144,59,126385,14914,747,10,3,1,0,0,2056-06-17,1
15145,49,122645,47068,325,34,4,1,0,1,2056-06-18,0
15146,45,84270,20557,447,19,2,1,1,1,2056-06-19,0
15147,65,126450,29937,745,11,4,1,1,0,2056-06-20,1
15148,56,53239,33039,723,39,2,1,0,0,2056-06-21,0
15149,57,84610,5341,702,5,0,1,1,1,2056-06-22,1
15150,59,73569,1810,379,2,0,0,0,0,2056-06-23,0
15151,64,114348,2010,785,5,3,0,0,0,2056-06-24,1
15152,57,121484,30847,615,36,1,0,0,0,2056-06-25,0
15153,30,96088,14685,459,21,0,1,1,0,2056-06-26,0
15154,29,60584,41281,491,1,3,0,1,1,2056-06-27,0
15155,25,70296,13958,423,20,2,0,0,0,2056-06-28,0
15156,32,36482,16854,724,8,2,0,1,1,2056-06-29,0
15157,43,138337,9189,756,37,1,0,0,0,2056-06-30,1
15158,29,86029,19234,825,37,2,0,1,0,2056-07-01,1
15159,60,115375,2141,726,16,3,0,0,0,2056-07-02,1
15160,68,22157,42666,629,2,4,0,1,0,2056-07-03,0
15161,63,122883,5030,326,34,3,1,1,0,2056-07-04,0
15162,44,136865,8541,390,18,3,0,0,0,2056-07-05,0
15163,35,127919,48232,608,27,4,1,0,1,2056-07-06,0
15164,62,98663,32946,418,19,2,0,1,0,2056-07-07,0
15165,53,61465,37844,549,4,0,0,1,0,2056-07-08,0
15166,66,76064,29484,586,23,3,0,0,1,2056-07-09,0
15167,68,98033,21678,333,9,0,0,0,0,2056-07-10,0
15168,44,83221,18150,375,30,3,0,0,1,2056-07-11,0
15169,26,94088,2100,467,21,1,0,0,0,2056-07-12,0
15170,56,126649,43430,840,22,1,0,1,1,2056-07-13,0
15171,18,44491,4497,765,22,2,0,0,0,2056-07-14,1
15172,24,101540,10886,325,31,3,1,1,1,2056-07-15,0
15173,43,102452,15092,614,8,3,0,0,0,2056-07-16,1
15174,24,74818,18856,440,24,3,0,1,1,2056-07-17,0
15175,69,101255,24664,762,28,3,1,1,0,2056-07-18,1
15176,24,62971,14862,785,24,3,1,0,1,2056-07-19,1
15177,25,55125,27464,820,13,4,1,1,0,2056-07-20,1
15178,33,116729,31718,636,3,0,0,1,1,2056-07-21,0
15179,20,129279,38161,653,4,3,1,1,1,2056-07-22,0
15180,62,141467,13667,694,13,3,1,1,1,2056-07-23,1
15181,27,66831,33934,677,0,2,1,0,1,2056-07-24,0
15182,67,21969,11601,517,29,2,0,0,0,2056-07-25,0
15183,24,123275,20909,692,26,3,1,0,1,2056-07-26,1
15184,38,63307,23120,561,20,1,0,1,0,2056-07-27,0
15185,54,32628,3806,421,26,0,0,1,1,2056-07-28,0
15186,48,141859,5552,813,38,1,1,1,0,2056-07-29,1
15187,40,102554,18242,671,10,0,1,1,0,2056-07-30,1
15188,44,22601,42884,698,0,3,1,0,1,2056-07-31,0
15189,39,135880,27264,356,36,3,0,0,1,2056-08-01,0
15190,56,147395,42674,487,37,4,0,1,1,2056-08-02,0
15191,44,35639,36592,361,26,2,1,1,1,2056-08-03,0
15192,66,45312,17034,686,3,1,0,0,1,2056-08-04,1
15193,21,79780,30466,392,1,2,0,1,1,2056-08-05,0
15194,41,78552,46996,601,1,2,1,1,1,2056-08-06,0
15195,40,82786,20692,481,12,3,1,1,1,2056-08-07,0
15196,65,79402,23514,642,29,4,1,0,1,2056-08-08,1
15197,36,140492,10642,402,31,0,1,0,0,2056-08-09,0
15198,59,118911,25636,517,32,2,0,0,1,2056-08-10,0
15199,20,124725,39596,423,20,4,1,0,0,2056-08-11,0
15200,44,90794,36727,689,4,0,1,1,1,2056-08-12,0
15201,20,55833,5187,567,20,2,1,0,1,2056-08-13,0
15202,45,81093,26473,383,13,2,0,0,0,2056-08-14,0
15203,34,93402,46289,724,1,0,1,1,1,2056-08-15,0
15204,48,60021,34737,624,24,4,0,1,0,2056-08-16,0
15205,27,50595,3578,636,6,2,1,0,0,2056-08-17,1
15206,66,73478,38881,811,18,1,0,0,0,2056-08-18,0
15207,39,25570,10211,303,10,0,1,0,1,2056-08-19,0
15208,47,71189,31651,509,2,0,1,0,1,2056-08-20,0
15209,66,38569,2653,840,17,2,1,0,1,2056-08-21,0
15210,38,45572,33111,802,35,3,1,1,1,2056-08-22,0
15211,53,129074,2260,618,19,0,1,1,1,2056-08-23,1
15212,40,27505,4362,600,4,0,1,1,1,2056-08-24,0
15213,55,21179,6480,784,1,1,1,0,1,2056-08-25,0
15214,29,106622,32881,684,28,2,1,1,0,2056-08-26,0
15215,42,117296,28247,689,39,4,0,0,1,2056-08-27,1
15216,37,76087,27865,427,26,0,0,0,1,2056-08-28,0
15217,66,95648,21771,739,9,3,0,1,1,2056-08-29,1
15218,66,148260,33631,579,8,1,0,0,0,2056-08-30,0
15219,59,47807,26335,312,32,2,0,1,1,2056-08-31,0
15220,24,127828,36893,361,17,1,1,0,1,2056-09-01,0
15221,46,34416,7671,379,38,0,1,1,1,2056-09-02,0
15222,65,39128,37913,461,2,4,0,1,0,2056-09-03,0
15223,46,22260,12038,840,13,3,0,1,0,2056-09-04,0
15224,30,58888,23716,660,10,3,1,1,0,2056-09-05,1
15225,20,89034,49041,568,19,3,0,0,1,2056-09-06,0
15226,19,138101,12776,436,39,2,0,0,0,2056-09-07,0
15227,33,25478,43966,644,24,4,1,1,0,2056-09-08,0
15228,47,25798,20632,302,31,2,1,0,0,2056-09-09,0
15229,55,93633,15554,815,23,4,0,1,1,2056-09-10,1
15230,23,69357,28282,770,13,0,1,0,1,2056-09-11,1
15231,62,101231,24247,465,5,2,1,0,0,2056-09-12,0
15232,24,25380,39143,600,25,4,1,1,0,2056-09-13,0
15233,22,103729,12064,704,22,2,1,0,0,2056-09-14,1
15234,24,45475,15983,766,33,4,0,1,0,2056-09-15,1
15235,51,61707,3237,489,37,1,0,1,0,2056-09-16,0
15236,49,51986,6967,485,26,2,1,1,1,2056-09-17,0
15237,66,118011,35251,503,39,3,0,0,1,2056-09-18,0
15238,30,33164,22512,713,20,2,0,1,1,2056-09-19,0
15239,47,47205,40791,425,0,4,1,0,1,2056-09-20,0
15240,42,128938,14991,702,0,2,0,1,0,2056-09-21,1
15241,38,134606,31180,341,3,4,1,1,0,2056-09-22,0
15242,38,66804,14500,519,9,0,1,1,1,2056-09-23,0
15243,45,49008,40958,410,10,2,0,1,0,2056-09-24,0
15244,65,141630,1296,801,3,0,0,0,0,2056-09-25,1
15245,37,62721,48431,517,25,0,1,0,1,2056-09-26,0
15246,51,65836,17022,358,7,4,1,1,1,2056-09-27,0
15247,22,98102,22459,450,5,0,1,1,0,2056-09-28,0
15248,35,136984,2775,343,22,2,1,0,1,2056-09-29,0
15249,56,57696,17394,404,3,1,0,1,0,2056-09-30,0
15250,60,79075,20597,374,25,3,1,0,1,2056-10-01,0
